,Position,Driver,Car,Time
3,1,Graham Hill,BRM,1:09.840
7,2,John Surtees,Ferrari,1:10.120
1,3,Jim Clark,Lotus Climax,1:10.210
5,4,Dan Gurney,Brabham Ford,1:10.400
4,5,Richie Ginther,BRM,1:10.400
6,6,Jack Brabham,Brabham Ford,1:10.570
8,7,Lorenzo Bandini,Ferrari,1:10.630
2,8,Mike Spence,Lotus Climax,1:11.000
9,9,Bruce McLaren,Cooper Climax,1:11.250
11,10,Jo Bonnier,Cooper Climax,1:11.590
14,11,Innes Ireland,Lotus BRM,1:11.600
20,12,Jo Siffert,Lotus BRM,1:11.820
12,13,Jochen Rindt,Cooper Climax,1:12.000
22,14,Bob Anderson,Brabham Climax,1:12.040
18,15,Giancarlo Baghetti,BRM,1:12.100
15,16,Trevor  Taylor ,Lotus BRM,1:12.230
16,17,Chris Amon,Lotus Climax,1:12.280
17,18,Mike Hailwood,Lotus Climax,1:12.400
19,19,Tony Maggs,BRM,1:12.400
10,20,Phil Hill,Cooper Climax,1:13.150
