,Position,Driver,Car,Q1,Q2,Q3,Laps
15,1,Sebastian Vettel,RBR Renault,1:18.685,1:18.119,1:19.509,21
23,2,Rubens Barrichello,Brawn Mercedes,1:19.325,1:18.335,1:19.856,23
14,3,Mark Webber,RBR Renault,1:18.674,1:18.209,1:19.868,18
9,4,Jarno Trulli,Toyota,1:18.886,1:18.240,1:20.091,21
17,5,Kazuki Nakajima,Williams Toyota,1:18.530,1:18.575,1:20.216,27
22,6,Jenson Button,Brawn Mercedes,1:18.957,1:18.663,1:20.289,25
16,7,Nico Rosberg,Williams Toyota,1:19.228,1:18.591,1:20.361,21
10,8,Timo Glock,Toyota,1:19.198,1:18.791,1:20.490,25
4,9,Kimi Räikkönen,Ferrari,1:19.010,1:18.566,1:20.715,24
7,10,Fernando Alonso,Renault,1:19.167,1:18.761,1:20.741,22
3,11,Felipe Massa,Ferrari,1:19.148,1:18.927,,19
5,12,Robert Kubica,Sauber BMW,1:19.730,1:19.308,,21
2,13,Heikki Kovalainen,McLaren Mercedes,1:19.732,1:19.353,,19
8,14,Nelson Piquet,Renault,1:19.555,1:19.392,,18
6,15,Nick Heidfeld,Sauber BMW,1:19.559,1:19.448,,19
21,16,Giancarlo Fisichella,Force India Mercedes,1:19.802,,,11
11,17,Sebastien Bourdais,STR Ferrari,1:19.898,,,10
20,18,Adrian Sutil,Force India Mercedes,1:19.909,,,10
1,19,Lewis Hamilton,McLaren Mercedes,1:19.917,,,7
12,20,Sebastien Buemi,STR Ferrari,1:20.236,,,12
