,Position,Driver,Car,Laps,Time,Points
15,1,Sebastian Vettel,RBR Renault,60,1:22:49.328,10
14,2,Mark Webber,RBR Renault,60,+15.188s,8
23,3,Rubens Barrichello,Brawn Mercedes,60,+41.175s,6
3,4,Felipe Massa,Ferrari,60,+45.043s,5
16,5,Nico Rosberg,Williams Toyota,60,+45.915s,4
22,6,Jenson Button,Brawn Mercedes,60,+46.285s,3
9,7,Jarno Trulli,Toyota,60,+68.307s,2
4,8,Kimi Räikkönen,Ferrari,60,+69.622s,1
10,9,Timo Glock,Toyota,60,+69.823s,0
21,10,Giancarlo Fisichella,Force India Mercedes,60,+71.522s,0
17,11,Kazuki Nakajima,Williams Toyota,60,+74.023s,0
8,12,Nelson Piquet,Renault,59,+1 lap,0
5,13,Robert Kubica,Sauber BMW,59,+1 lap,0
7,14,Fernando Alonso,Renault,59,+1 lap,0
6,15,Nick Heidfeld,Sauber BMW,59,+1 lap,0
1,16,Lewis Hamilton,McLaren Mercedes,59,+1 lap,0
20,17,Adrian Sutil,Force India Mercedes,59,+1 lap,0
12,18,Sebastien Buemi,STR Ferrari,59,+1 lap,0
11,NC,Sebastien Bourdais,STR Ferrari,37,DNF,0
2,NC,Heikki Kovalainen,McLaren Mercedes,36,DNF,0
