,Position,Driver,Car,Time / Gap,Laps
15,1,Sebastian Vettel,RBR Renault,1:19.456,39
14,2,Mark Webber,RBR Renault,+0.141s,35
20,3,Adrian Sutil,Force India Mercedes,+0.685s,41
17,4,Kazuki Nakajima,Williams Toyota,+0.753s,36
7,5,Fernando Alonso,Renault,+0.781s,36
23,6,Rubens Barrichello,Brawn Mercedes,+0.788s,26
1,7,Lewis Hamilton,McLaren Mercedes,+0.961s,35
9,8,Jarno Trulli,Toyota,+1.002s,40
16,9,Nico Rosberg,Williams Toyota,+1.012s,42
8,10,Nelson Piquet,Renault,+1.152s,37
5,11,Robert Kubica,Sauber BMW,+1.166s,23
2,12,Heikki Kovalainen,McLaren Mercedes,+1.277s,37
10,13,Timo Glock,Toyota,+1.306s,37
22,14,Jenson Button,Brawn Mercedes,+1.311s,28
6,15,Nick Heidfeld,Sauber BMW,+1.476s,35
11,16,Sebastien Bourdais,STR Ferrari,+1.489s,36
3,17,Felipe Massa,Ferrari,+1.549s,37
4,18,Kimi Räikkönen,Ferrari,+1.676s,38
21,19,Giancarlo Fisichella,Force India Mercedes,+1.957s,40
12,20,Sebastien Buemi,STR Ferrari,+2.212s,37
