,Position,Driver,Car,Lap,Time,Avg Speed
2,1,Rubens Barrichello,Ferrari,38,1:22.236,225.054
5,2,David Coulthard,McLaren Mercedes,60,1:22.692,223.813
7,3,Jarno Trulli,Renault,9,1:22.797,223.529
8,4,Fernando Alonso,Renault,37,1:22.819,223.470
6,5,Kimi Räikkönen,McLaren Mercedes,9,1:22.911,223.222
3,6,Juan Pablo Montoya,Williams BMW,33,1:22.938,223.149
4,7,Ralf Schumacher,Williams BMW,10,1:22.943,223.136
1,8,Michael Schumacher,Ferrari,10,1:23.024,222.918
15,9,Antonio Pizzonia,Jaguar Cosworth,9,1:23.158,222.559
20,10,Olivier Panis,Toyota,47,1:23.463,221.746
21,11,Cristiano da Matta,Toyota,32,1:23.528,221.573
16,12,Jacques Villeneuve,BAR Honda,57,1:23.705,221.105
14,13,Mark Webber,Jaguar Cosworth,28,1:23.833,220.767
17,14,Jenson Button,BAR Honda,53,1:23.912,220.559
10,15,Heinz-Harald Frentzen,Sauber Petronas,58,1:23.933,220.504
9,16,Nick Heidfeld,Sauber Petronas,9,1:24.537,218.928
11,17,Giancarlo Fisichella,Jordan Ford,40,1:24.823,218.190
12,18,Ralph Firman,Jordan Ford,33,1:25.087,217.513
18,19,Justin Wilson,Minardi Cosworth,9,1:25.859,215.558
19,20,Jos Verstappen,Minardi Cosworth,2,1:27.021,212.679
