,Position,Driver,Car,Time,Laps
2,1,Rubens Barrichello,Ferrari,1:21.209,3
7,2,Jarno Trulli,Renault,1:21.381,3
6,3,Kimi Räikkönen,McLaren Mercedes,1:21.695,3
4,4,Ralf Schumacher,Williams BMW,1:21.727,3
1,5,Michael Schumacher,Ferrari,1:21.867,3
21,6,Cristiano da Matta,Toyota,1:22.081,3
3,7,Juan Pablo Montoya,Williams BMW,1:22.214,3
8,8,Fernando Alonso,Renault,1:22.404,3
16,9,Jacques Villeneuve,BAR Honda,1:22.591,3
15,10,Antonio Pizzonia,Jaguar Cosworth,1:22.634,3
14,11,Mark Webber,Jaguar Cosworth,1:22.647,3
5,12,David Coulthard,McLaren Mercedes,1:22.811,3
20,13,Olivier Panis,Toyota,1:23.042,3
10,14,Heinz-Harald Frentzen,Sauber Petronas,1:23.187,3
11,15,Giancarlo Fisichella,Jordan Ford,1:23.574,3
9,16,Nick Heidfeld,Sauber Petronas,1:23.844,3
12,17,Ralph Firman,Jordan Ford,1:24.385,3
18,18,Justin Wilson,Minardi Cosworth,1:25.468,3
19,19,Jos Verstappen,Minardi Cosworth,1:25.759,3
17,20,Jenson Button,BAR Honda,,2
