,Position,Driver,Car,Time,Laps
2,1,Rubens Barrichello,Ferrari,1:25.843,9
1,2,Michael Schumacher,Ferrari,1:25.848,10
5,3,Ralf Schumacher,Williams BMW,1:26.279,3
3,4,David Coulthard,McLaren Mercedes,1:26.446,6
4,5,Kimi Räikkönen,McLaren Mercedes,1:27.161,7
6,6,Juan Pablo Montoya,Williams BMW,1:27.249,4
14,7,Jarno Trulli,Renault,1:27.710,6
9,8,Giancarlo Fisichella,Jordan Honda,1:27.869,9
8,9,Felipe Massa,Sauber Petronas,1:27.972,5
7,10,Nick Heidfeld,Sauber Petronas,1:28.232,5
15,11,Jenson Button,Renault,1:28.361,5
12,12,Olivier Panis,BAR Honda,1:28.381,4
11,13,Jacques Villeneuve,BAR Honda,1:28.657,6
24,14,Mika Salo,Toyota,1:29.205,5
20,15,Heinz-Harald Frentzen,Arrows Cosworth,1:29.474,3
25,16,Allan McNish,Toyota,1:29.636,5
21,17,Enrique Bernoldi,Arrows Cosworth,1:29.738,4
23,18,Mark Webber,Minardi Asiatech,1:30.086,6
16,19,Eddie Irvine,Jaguar Cosworth,1:30.113,6
17,20,Pedro de la Rosa,Jaguar Cosworth,1:30.192,4
22,21,Alex Yoong,Minardi Asiatech,1:31.504,4
10,NC,Takuma Sato,Jordan Honda,1:53.351,7
