,Position,Driver,Car,Time,Laps
7,1,Jean Alesi,Benetton Renault,1:22.990,10
4,2,Heinz-Harald Frentzen,Williams Renault,1:23.042,11
12,3,Giancarlo Fisichella,Jordan Peugeot,1:23.066,12
3,4,Jacques Villeneuve,Williams Renault,1:23.231,11
9,5,Mika Hakkinen,McLaren Mercedes,1:23.340,10
10,6,David Coulthard,McLaren Mercedes,1:23.347,11
8,7,Gerhard Berger,Benetton Renault,1:23.443,11
11,8,Ralf Schumacher,Jordan Peugeot,1:23.603,11
5,9,Michael Schumacher,Ferrari,1:23.624,12
6,10,Eddie Irvine,Ferrari,1:23.891,12
22,11,Rubens Barrichello,Stewart Ford,1:24.177,11
16,12,Johnny Herbert,Sauber Petronas,1:24.242,11
23,13,Jan Magnussen,Stewart Ford,1:24.394,11
1,14,Damon Hill,Arrows Yamaha,1:24.482,12
15,15,Shinji Nakano,Prost Mugen Honda,1:24.553,11
14,16,Jarno Trulli,Prost Mugen Honda,1:24.567,12
2,17,Pedro Diniz,Arrows Yamaha,1:24.639,12
17,18,Gianni Morbidelli,Sauber Petronas,1:24.735,11
19,19,Mika Salo,Tyrrell Ford,1:25.693,8
18,20,Jos Verstappen,Tyrrell Ford,1:25.845,12
20,21,Ukyo Katayama,Minardi Hart,1:26.655,10
21,22,Tarso Marques,Minardi Hart,1:27.677,10
