,Position,Driver,Car,Time / Gap,Laps
6,1,Nico Rosberg,Mercedes,1:23.922,35
7,2,Kimi Räikkönen,Ferrari,+0.254s,31
44,3,Lewis Hamilton,Mercedes,+0.719s,27
5,4,Sebastian Vettel,Ferrari,+1.095s,35
55,5,Carlos Sainz,Toro Rosso Ferrari,+1.209s,39
3,6,Daniel Ricciardo,Red Bull Racing TAG Heuer,+1.272s,37
14,7,Fernando Alonso,McLaren Honda,+1.420s,31
33,8,Max Verstappen,Red Bull Racing TAG Heuer,+1.453s,31
11,9,Sergio Perez,Force India Mercedes,+1.515s,32
27,10,Nico Hulkenberg,Force India Mercedes,+1.531s,35
77,11,Valtteri Bottas,Williams Mercedes,+1.786s,30
22,12,Jenson Button,McLaren Honda,+1.971s,20
8,13,Romain Grosjean,Haas Ferrari,+1.977s,33
20,14,Kevin Magnussen,Renault,+2.322s,40
26,15,Daniil Kvyat,Toro Rosso Ferrari,+2.453s,44
19,16,Felipe Massa,Williams Mercedes,+2.569s,36
30,17,Jolyon Palmer,Renault,+2.848s,16
94,18,Pascal Wehrlein,MRT Mercedes,+3.038s,40
88,19,Rio Haryanto,MRT Mercedes,+3.330s,39
12,20,Felipe Nasr,Sauber Ferrari,+3.890s,40
21,21,Esteban Gutierrez ,Haas Ferrari,+4.283s,9
9,22,Marcus Ericsson,Sauber Ferrari,+4.579s,42
