,Position,Driver,Car,Time / Gap,Laps
5,1,Sebastian Vettel,Ferrari,1:23.951,22
7,2,Kimi Räikkönen,Ferrari,+0.138s,18
6,3,Nico Rosberg,Mercedes,+0.503s,34
44,4,Lewis Hamilton,Mercedes,+0.660s,33
3,5,Daniel Ricciardo,Red Bull Racing TAG Heuer,+1.465s,25
33,6,Max Verstappen,Red Bull Racing TAG Heuer,+1.634s,29
77,7,Valtteri Bottas,Williams Mercedes,+1.721s,36
55,8,Carlos Sainz,Toro Rosso Ferrari,+2.127s,19
19,9,Felipe Massa,Williams Mercedes,+2.235s,32
14,10,Fernando Alonso,McLaren Honda,+2.292s,18
20,11,Kevin Magnussen,Renault,+2.625s,30
26,12,Daniil Kvyat,Toro Rosso Ferrari,+2.632s,21
27,13,Nico Hulkenberg,Force India Mercedes,+2.987s,27
11,14,Sergio Perez,Force India Mercedes,+3.113s,9
12,15,Felipe Nasr,Sauber Ferrari,+3.302s,27
8,16,Romain Grosjean,Haas Ferrari,+3.307s,17
21,17,Esteban Gutierrez ,Haas Ferrari,+3.332s,18
9,18,Marcus Ericsson,Sauber Ferrari,+3.441s,24
22,19,Jenson Button,McLaren Honda,+3.659s,19
94,20,Pascal Wehrlein,MRT Mercedes,+4.133s,29
88,21,Rio Haryanto,MRT Mercedes,+5.101s,34
45,22,Esteban Ocon,Renault,,6
