,Position,Driver,Car,Time,Laps
4,1,Ralf Schumacher,Williams BMW,1:15.019,3
3,2,Juan Pablo Montoya,Williams BMW,1:15.136,3
1,3,Michael Schumacher,Ferrari,1:15.480,3
6,4,Kimi Räikkönen,McLaren Mercedes,1:15.533,3
5,5,David Coulthard,McLaren Mercedes,1:15.628,3
7,6,Jarno Trulli,Renault,1:15.967,3
8,7,Fernando Alonso,Renault,1:16.087,3
2,8,Rubens Barrichello,Ferrari,1:16.166,3
14,9,Mark Webber,Jaguar Cosworth,1:16.308,3
20,10,Olivier Panis,Toyota,1:16.345,3
15,11,Antonio Pizzonia,Jaguar Cosworth,1:16.965,3
16,12,Jacques Villeneuve,BAR Honda,1:16.990,3
21,13,Cristiano da Matta,Toyota,1:17.068,3
17,14,Jenson Button,BAR Honda,1:17.077,3
9,15,Nick Heidfeld,Sauber Petronas,1:17.445,3
10,16,Heinz-Harald Frentzen,Sauber Petronas,1:17.562,3
11,17,Giancarlo Fisichella,Jordan Ford,1:18.431,3
12,18,Ralph Firman,Jordan Ford,1:18.514,3
19,19,Jos Verstappen,Minardi Cosworth,1:18.709,3
18,20,Justin Wilson,Minardi Cosworth,1:19.619,3
