,Position,Driver,Car,Time,Laps
5,1,Michael Schumacher,Benetton Ford,1:18.560,18
7,2,Mika Hakkinen,McLaren Peugeot,1:19.488,22
28,3,Gerhard Berger,Ferrari,1:19.958,20
0,4,Damon Hill,Williams Renault,1:20.079,22
27,5,Jean Alesi,Ferrari,1:20.452,18
9,6,Christian Fittipaldi,Footwork Ford,1:21.053,22
10,7,Gianni Morbidelli,Footwork Ford,1:21.189,21
8,8,Martin Brundle,McLaren Peugeot,1:21.222,20
23,9,Pierluigi Martini,Minardi Ford,1:21.288,18
4,10,Mark Blundell,Tyrrell Yamaha,1:21.614,14
3,11,Ukyo Katayama,Tyrrell Yamaha,1:21.731,21
24,12,Michele Alboreto,Minardi Ford,1:21.793,22
20,13,Erik Comas,Larrousse Ford,1:22.211,18
15,14,Andrea de Cesaris,Jordan Hart,1:22.265,22
14,15,Rubens Barrichello,Jordan Hart,1:22.359,22
12,16,Johnny Herbert,Lotus Mugen Honda,1:22.375,19
6,17,Jyrki Jarvilehto,Benetton Ford,1:22.679,22
19,18,Olivier Beretta,Larrousse Ford,1:23.025,22
11,19,Pedro Lamy,Lotus Mugen Honda,1:23.858,22
26,20,Olivier Panis,Ligier Renault,1:24.131,16
25,21,Eric Bernard,Ligier Renault,1:24.377,12
31,22,David Brabham,Simtek Ford,1:24.656,20
34,23,Bertrand Gachot,Pacific Ilmor,1:26.082,8
33,24,Paul Belmondo,Pacific Ilmor,1:29.984,10
