,Position,Driver,Car,Lap,Time
5,1,Michael Schumacher,Benetton Ford,35,1:21.076
8,2,Martin Brundle,McLaren Peugeot,29,1:21.998
28,3,Gerhard Berger,Ferrari,16,1:22.248
27,4,Jean Alesi,Ferrari,64,1:23.420
6,5,Jyrki Jarvilehto,Benetton Ford,75,1:23.737
9,6,Christian Fittipaldi,Footwork Ford,14,1:23.765
4,7,Mark Blundell,Tyrrell Yamaha,37,1:23.840
15,8,Andrea de Cesaris,Jordan Hart,70,1:23.978
24,9,Michele Alboreto,Minardi Ford,26,1:23.996
20,10,Erik Comas,Larrousse Ford,46,1:24.080
3,11,Ukyo Katayama,Tyrrell Yamaha,9,1:24.498
19,12,Olivier Beretta,Larrousse Ford,24,1:25.169
14,13,Rubens Barrichello,Jordan Hart,16,1:25.240
12,14,Johnny Herbert,Lotus Mugen Honda,43,1:25.479
26,15,Olivier Panis,Ligier Renault,67,1:25.563
31,16,David Brabham,Simtek Ford,18,1:25.844
25,17,Eric Bernard,Ligier Renault,14,1:25.904
11,18,Pedro Lamy,Lotus Mugen Honda,42,1:26.339
34,19,Bertrand Gachot,Pacific Ilmor,21,1:27.711
33,20,Paul Belmondo,Pacific Ilmor,33,1:30.048
