,Position,Driver,Car,Laps,Time,Points
5,1,Fernando Alonso,Ferrari,57,1:44:16.649,25
9,2,Kimi Räikkönen,Lotus Renault,57,+6.421s,18
7,3,Michael Schumacher,Mercedes,57,+12.639s,15
2,4,Mark Webber,Red Bull Racing Renault,57,+13.628s,12
12,5,Nico Hulkenberg,Force India Mercedes,57,+19.993s,10
8,6,Nico Rosberg,Mercedes,57,+21.176s,8
11,7,Paul di Resta,Force India Mercedes,57,+22.866s,6
3,8,Jenson Button,McLaren Mercedes,57,+24.653s,4
15,9,Sergio Perez,Sauber Ferrari,57,+27.777s,2
19,10,Bruno Senna,Williams Renault,57,+35.961s,1
16,11,Daniel Ricciardo,STR Ferrari,57,+37.041s,0
18,12,Pastor Maldonado,Williams Renault,57,+54.630s,0
21,13,Vitaly Petrov,Caterham Renault,57,+75.871s,0
20,14,Heikki Kovalainen,Caterham Renault,57,+94.654s,0
25,15,Charles Pic,Marussia Cosworth,57,+96.551s,0
6,16,Felipe Massa,Ferrari,56,+1 lap,0
22,17,Pedro de la Rosa,HRT Cosworth,56,+1 lap,0
23,18,Narain Karthikeyan,HRT Cosworth,56,+1 lap,0
4,19,Lewis Hamilton,McLaren Mercedes,55,DNF,0
10,NC,Romain Grosjean,Lotus Renault,40,DNF,0
1,NC,Sebastian Vettel,Red Bull Racing Renault,33,DNF,0
14,NC,Kamui Kobayashi,Sauber Ferrari,33,DNF,0
17,NC,Jean-Eric Vergne,STR Ferrari,26,DNF,0
