,Position,Driver,Car,Q1,Q2,Q3,Laps
1,1,Sebastian Vettel,Red Bull Racing Renault,1:39.626,1:38.530,1:38.086,15
4,2,Lewis Hamilton,McLaren Mercedes,1:39.169,1:38.616,1:38.410,17
18,3,Pastor Maldonado,Williams Renault,1:38.825,1:38.570,1:38.475,21
10,4,Romain Grosjean,Lotus Renault,1:39.530,1:38.489,1:38.505,16
9,5,Kimi Räikkönen,Lotus Renault,1:39.464,1:38.531,1:38.513,16
8,6,Nico Rosberg,Mercedes,1:39.061,1:38.504,1:38.623,17
14,7,Kamui Kobayashi,Sauber Ferrari,1:39.651,1:38.703,1:38.741,12
12,8,Nico Hulkenberg,Force India Mercedes,1:39.009,1:38.689,1:38.752,19
3,9,Jenson Button,McLaren Mercedes,1:39.622,1:38.563,1:38.801,16
11,10,Paul di Resta,Force India Mercedes,1:38.858,1:38.519,1:38.992,18
5,11,Fernando Alonso,Ferrari,1:39.409,1:38.707,,14
7,12,Michael Schumacher,Mercedes,1:39.447,1:38.770,,12
6,13,Felipe Massa,Ferrari,1:39.388,1:38.780,,14
19,14,Bruno Senna,Williams Renault,1:39.449,1:39.207,,15
15,15,Sergio Perez,Sauber Ferrari,1:39.353,1:39.358,,14
20,16,Heikki Kovalainen,Caterham Renault,1:40.087,1:40.295,,11
16,17,Daniel Ricciardo,STR Ferrari,1:39.924,1:40.358,,12
17,18,Jean-Eric Vergne,STR Ferrari,1:40.203,,,9
2,19,Mark Webber,Red Bull Racing Renault,1:40.395,,,7
21,20,Vitaly Petrov,Caterham Renault,1:40.457,,,8
22,21,Pedro de la Rosa,HRT Cosworth,1:42.171,,,7
23,22,Narain Karthikeyan,HRT Cosworth,1:42.527,,,8
25,23,Charles Pic,Marussia Cosworth,1:42.675,,,10
