,Position,Driver,Car,Lap,Time,Avg Speed
8,1,Nico Rosberg,Mercedes,54,1:42.163,190.953
2,2,Mark Webber,Red Bull Racing Renault,40,1:42.717,189.923
7,3,Michael Schumacher,Mercedes,43,1:43.099,189.220
15,4,Sergio Perez,Sauber Ferrari,43,1:43.526,188.439
5,5,Fernando Alonso,Ferrari,40,1:43.666,188.185
16,6,Daniel Ricciardo,STR Ferrari,44,1:43.674,188.170
9,7,Kimi Räikkönen,Lotus Renault,43,1:43.686,188.148
10,8,Romain Grosjean,Lotus Renault,38,1:43.764,188.007
4,9,Lewis Hamilton,McLaren Mercedes,43,1:44.007,187.568
18,10,Pastor Maldonado,Williams Renault,43,1:44.064,187.465
11,11,Paul di Resta,Force India Mercedes,45,1:44.101,187.398
19,12,Bruno Senna,Williams Renault,44,1:44.111,187.380
12,13,Nico Hulkenberg,Force India Mercedes,40,1:44.226,187.174
21,14,Vitaly Petrov,Caterham Renault,54,1:44.253,187.125
6,15,Felipe Massa,Ferrari,36,1:44.431,186.806
1,16,Sebastian Vettel,Red Bull Racing Renault,18,1:44.555,186.585
3,17,Jenson Button,McLaren Mercedes,48,1:44.806,186.138
14,18,Kamui Kobayashi,Sauber Ferrari,22,1:45.082,185.649
20,19,Heikki Kovalainen,Caterham Renault,40,1:45.294,185.275
17,20,Jean-Eric Vergne,STR Ferrari,22,1:45.491,184.929
23,21,Narain Karthikeyan,HRT Cosworth,42,1:46.388,183.370
25,22,Charles Pic,Marussia Cosworth,43,1:46.701,182.832
22,23,Pedro de la Rosa,HRT Cosworth,36,1:46.799,182.664
