,Position,Driver,Car,Laps,Time,Points
11,1,James Hunt,McLaren Ford,75,1:42:20.430,9
1,2,Niki Lauda,Ferrari,75,+30.970s,6
6,3,Gunnar Nilsson,Lotus Ford,75,+48.020s,4
7,4,Carlos Reutemann,Brabham Alfa Romeo,74,+1 lap,3
22,5,Chris Amon,Ensign Ford,74,+1 lap,2
8,6,Carlos Pace,Brabham Alfa Romeo,74,+1 lap,1
20,7,Jacky Ickx,Wolf-Williams,74,+1 lap,0
16,8,Tom Pryce,Shadow Ford,74,+1 lap,0
19,9,Alan  Jones,Surtees Ford,74,+1 lap,0
21,10,Michel Leclere,Wolf-Williams,73,+2 laps,0
2,11,Clay Regazzoni,Ferrari,72,+3 laps,0
26,12,Jacques Laffite,Ligier Matra,72,+3 laps,0
37,13,Larry Perkins,Boro Ford,72,+3 laps,0
12,NC,Jochen Mass,McLaren Ford,65,DNF,0
17,NC,Jean-Pierre Jarier,Shadow Ford,61,DNF,0
3,NC,Jody Scheckter,Tyrrell Ford,53,DNF,0
28,NC,John Watson,Penske Ford,51,DNF,0
35,NC,Arturo Merzario,March Ford,36,DNF,0
5,NC,Mario Andretti,Lotus Ford,34,DNF,0
4,NC,Patrick Depailler,Tyrrell Ford,25,DNF,0
9,NC,Vittorio Brambilla,March Ford,21,DNF,0
34,NC,Hans-Joachim Stuck,March Ford,16,DNF,0
10,NC,Ronnie Peterson,March Ford,11,DNF,0
30,NC,Emerson Fittipaldi,Fittipaldi Ford,3,DNF,0
