,Position,Driver,Car,Laps,Time,Points
1,1,Fernando Alonso,McLaren Mercedes,60,2:06:26.358,10
5,2,Felipe Massa,Ferrari,60,+8.155s,8
15,3,Mark Webber,Red Bull Renault,60,+65.674s,6
17,4,Alexander Wurz,Williams Toyota,60,+65.937s,5
14,5,David Coulthard,Red Bull Renault,60,+73.656s,4
9,6,Nick Heidfeld,Sauber BMW,60,+80.298s,3
10,7,Robert Kubica,Sauber BMW,60,+82.415s,2
4,8,Heikki Kovalainen,Renault,59,+1 lap,1
2,9,Lewis Hamilton,McLaren Mercedes,59,+1 lap,0
3,10,Giancarlo Fisichella,Renault,59,+1 lap,0
8,11,Rubens Barrichello,Honda,59,+1 lap,0
23,12,Anthony Davidson,Super Aguri Honda,59,+1 lap,0
12,13,Jarno Trulli,Toyota,59,+1 lap,0
6,NC,Kimi Räikkönen,Ferrari,34,DNF,0
22,NC,Takuma Sato,Super Aguri Honda,19,DNF,0
11,NC,Ralf Schumacher,Toyota,18,DNF,0
21,NC,Markus Winkelhock,Spyker Ferrari,13,DNF,0
7,NC,Jenson Button,Honda,2,DNF,0
20,NC,Adrian Sutil,Spyker Ferrari,2,DNF,0
16,NC,Nico Rosberg,Williams Toyota,2,DNF,0
19,NC,Scott Speed,STR Ferrari,2,DNF,0
18,NC,Vitantonio Liuzzi,STR Ferrari,2,DNF,0
