,Position,Driver,Car,Q1,Q2,Q3,Laps
6,1,Kimi Räikkönen,Ferrari,1:31.522,1:31.237,1:31.450,16
1,2,Fernando Alonso,McLaren Mercedes,1:31.074,1:30.983,1:31.741,16
5,3,Felipe Massa,Ferrari,1:31.447,1:30.912,1:31.778,16
9,4,Nick Heidfeld,Sauber BMW,1:31.889,1:31.652,1:31.840,20
10,5,Robert Kubica,Sauber BMW,1:31.961,1:31.444,1:32.123,20
15,6,Mark Webber,Red Bull Renault,1:32.629,1:31.661,1:32.476,22
4,7,Heikki Kovalainen,Renault,1:32.594,1:31.783,1:32.478,23
12,8,Jarno Trulli,Toyota,1:32.381,1:31.859,1:32.501,22
11,9,Ralf Schumacher,Toyota,1:32.446,1:31.843,1:32.570,22
2,10,Lewis Hamilton,McLaren Mercedes,1:31.587,1:31.185,1:33.833,12
16,11,Nico Rosberg,Williams Toyota,1:32.117,1:31.978,,13
17,12,Alexander Wurz,Williams Toyota,1:32.173,1:31.996,,12
3,13,Giancarlo Fisichella,Renault,1:32.378,1:32.010,,13
8,14,Rubens Barrichello,Honda,1:32.674,1:32.221,,12
23,15,Anthony Davidson,Super Aguri Honda,1:32.793,1:32.451,,12
22,16,Takuma Sato,Super Aguri Honda,1:32.678,1:32.838,,11
7,17,Jenson Button,Honda,1:32.983,,,6
19,18,Scott Speed,STR Ferrari,1:33.038,,,6
18,19,Vitantonio Liuzzi,STR Ferrari,1:33.148,,,6
14,20,David Coulthard,Red Bull Renault,1:33.151,,,6
20,21,Adrian Sutil,Spyker Ferrari,1:34.500,,,9
21,22,Markus Winkelhock,Spyker Ferrari,1:35.940,,,6
