,Position,Driver,Car,Lap,Time,Avg Speed
5,1,Felipe Massa,Ferrari,34,1:32.853,199.592
1,2,Fernando Alonso,McLaren Mercedes,35,1:33.231,198.783
2,3,Lewis Hamilton,McLaren Mercedes,29,1:33.401,198.421
6,4,Kimi Räikkönen,Ferrari,32,1:33.904,197.359
17,5,Alexander Wurz,Williams Toyota,33,1:34.235,196.665
14,6,David Coulthard,Red Bull Renault,48,1:34.316,196.496
9,7,Nick Heidfeld,Sauber BMW,49,1:34.354,196.417
15,8,Mark Webber,Red Bull Renault,29,1:34.449,196.220
10,9,Robert Kubica,Sauber BMW,49,1:34.451,196.216
12,10,Jarno Trulli,Toyota,29,1:34.496,196.122
4,11,Heikki Kovalainen,Renault,48,1:34.603,195.900
3,12,Giancarlo Fisichella,Renault,48,1:34.893,195.302
23,13,Anthony Davidson,Super Aguri Honda,46,1:35.282,194.504
8,14,Rubens Barrichello,Honda,37,1:35.632,193.792
11,15,Ralf Schumacher,Toyota,18,1:36.195,192.658
22,16,Takuma Sato,Super Aguri Honda,18,1:37.401,190.273
21,17,Markus Winkelhock,Spyker Ferrari,13,1:42.783,180.309
7,18,Jenson Button,Honda,2,2:20.041,132.338
20,19,Adrian Sutil,Spyker Ferrari,2,2:25.798,127.112
16,20,Nico Rosberg,Williams Toyota,2,2:50.950,108.410
19,21,Scott Speed,STR Ferrari,2,3:01.900,101.884
18,22,Vitantonio Liuzzi,STR Ferrari,2,3:22.300,91.610
