,Position,Driver,Car,Laps,Time,Points
7,1,John Watson,McLaren Ford,62,1:58:41.043,9
25,2,Eddie  Cheever,Ligier Matra,62,+15.730s,6
28,3,Didier Pironi,Ferrari,62,+28.080s,4
6,4,Keke Rosberg,Williams Ford,62,+71.980s,3
5,5,Derek Daly,Williams Ford,62,+83.760s,2
26,6,Jacques Laffite,Ligier Matra,61,+1 lap,1
17,7,Jochen Mass,March Ford,61,+1 lap,0
29,8,Marc Surer,Arrows Ford,61,+1 lap,0
4,9,Brian Henton,Tyrrell Ford,60,+2 laps,0
16,10,Rene Arnoux,Renault,59,+3 laps,0
20,11,Chico Serra,Fittipaldi Ford,59,+3 laps,0
15,NC,Alain Prost,Renault,54,+8 laps,0
12,NC,Nigel Mansell,Lotus Ford,44,DNF,0
8,NC,Niki Lauda,McLaren Ford,40,DNF,0
3,NC,Michele Alboreto,Tyrrell Ford,40,DNF,0
23,NC,Bruno Giacomelli,Alfa Romeo,30,DNF,0
11,NC,Elio de Angelis,Lotus Ford,17,DNF,0
10,NC,Eliseo Salazar,ATS Ford,13,DNF,0
14,NC,Roberto Guerrero,Ensign Ford,6,DNF,0
2,NC,Riccardo Patrese,Brabham Ford,6,DNF,0
22,NC,Andrea de Cesaris,Alfa Romeo,2,DNF,0
31,NC,Jean-Pierre Jarier,Osella Ford,2,DNF,0
9,NC,Manfred Winkelhock,ATS Ford,1,DNF,0
18,NC,Raul Boesel,March Ford,0,DNF,0
30,NC,Mauro Baldi,Arrows Ford,0,DNF,0
