,Position,Driver,Car,Time
15,1,Alain Prost,Renault,1:48.537
22,2,Andrea de Cesaris,Alfa Romeo,1:48.872
6,3,Keke Rosberg,Williams Ford,1:49.264
28,4,Didier Pironi,Ferrari,1:49.903
9,5,Manfred Winkelhock,ATS Ford,1:50.066
23,6,Bruno Giacomelli,Alfa Romeo,1:50.252
12,7,Nigel Mansell,Lotus Ford,1:50.294
11,8,Elio de Angelis,Lotus Ford,1:50.443
25,9,Eddie  Cheever,Ligier Matra,1:50.520
8,10,Niki Lauda,McLaren Ford,1:51.026
14,11,Roberto Guerrero,Ensign Ford,1:51.039
5,12,Derek Daly,Williams Ford,1:51.227
26,13,Jacques Laffite,Ligier Matra,1:51.270
2,14,Riccardo Patrese,Brabham Ford,1:51.508
16,15,Rene Arnoux,Renault,1:51.514
3,16,Michele Alboreto,Tyrrell Ford,1:51.618
7,17,John Watson,McLaren Ford,1:51.868
17,18,Jochen Mass,March Ford,1:52.271
29,19,Marc Surer,Arrows Ford,1:52.316
4,20,Brian Henton,Tyrrell Ford,1:52.867
18,21,Raul Boesel,March Ford,1:52.870
31,22,Jean-Pierre Jarier,Osella Ford,1:52.988
32,23,Riccardo Paletti,Osella Ford,1:54.084
30,24,Mauro Baldi,Arrows Ford,1:54.332
10,25,Eliseo Salazar,ATS Ford,1:55.633
20,26,Chico Serra,Fittipaldi Ford,1:55.848
