,Position,Driver,Car,Lap,Time,Avg Speed
1,1,Mika Hakkinen,McLaren Mercedes,28,1:28.309,209.536
4,2,Eddie Irvine,Ferrari,54,1:28.782,208.420
2,3,David Coulthard,McLaren Mercedes,47,1:28.846,208.270
7,4,Damon Hill,Jordan Mugen Honda,48,1:29.252,207.323
8,5,Heinz-Harald Frentzen,Jordan Mugen Honda,47,1:29.330,207.142
6,6,Ralf Schumacher,Williams Supertec,26,1:29.414,206.947
16,7,Rubens Barrichello,Stewart Ford,49,1:29.493,206.764
12,8,Pedro Diniz,Sauber Petronas,27,1:29.819,206.014
17,9,Johnny Herbert,Stewart Ford,53,1:30.103,205.364
9,10,Giancarlo Fisichella,Benetton Playlife,54,1:30.296,204.926
11,11,Jean Alesi,Sauber Petronas,37,1:30.334,204.839
5,12,Alessandro Zanardi,Williams Supertec,41,1:30.522,204.414
23,13,Ricardo Zonta,BAR Supertec,27,1:30.611,204.213
10,14,Alexander Wurz,Benetton Playlife,40,1:30.625,204.182
18,15,Olivier Panis,Prost Peugeot,41,1:30.793,203.804
19,16,Jarno Trulli,Prost Peugeot,52,1:30.964,203.421
22,17,Jacques Villeneuve,BAR Supertec,18,1:31.342,202.579
21,18,Marc Gene,Minardi Ford,44,1:31.612,201.982
20,19,Luca Badoer,Minardi Ford,3,1:32.409,200.240
15,20,Toranosuke Takagi,Arrows,22,1:32.442,200.168
