,Position,Driver,Car,Time / Gap,Laps
1,1,Mika Hakkinen,McLaren Mercedes,1:26.981,26
6,2,Ralf Schumacher,Williams Supertec,+0.023s,32
4,3,Eddie Irvine,Ferrari,+0.080s,27
2,4,David Coulthard,McLaren Mercedes,+0.174s,28
16,5,Rubens Barrichello,Stewart Ford,+0.177s,35
3,6,Michael Schumacher,Ferrari,+0.346s,24
7,7,Damon Hill,Jordan Mugen Honda,+0.400s,31
12,8,Pedro Diniz,Sauber Petronas,+0.950s,40
22,9,Jacques Villeneuve,BAR Supertec,+1.000s,38
5,10,Alessandro Zanardi,Williams Supertec,+1.181s,32
23,11,Ricardo Zonta,BAR Supertec,+1.257s,34
11,12,Jean Alesi,Sauber Petronas,+1.491s,20
9,13,Giancarlo Fisichella,Benetton Playlife,+1.565s,26
8,14,Heinz-Harald Frentzen,Jordan Mugen Honda,+1.614s,29
10,15,Alexander Wurz,Benetton Playlife,+1.759s,17
19,16,Jarno Trulli,Prost Peugeot,+1.902s,7
20,17,Luca Badoer,Minardi Ford,+2.149s,36
17,18,Johnny Herbert,Stewart Ford,+2.220s,28
21,19,Marc Gene,Minardi Ford,+2.435s,36
14,20,Pedro de la Rosa,Arrows,+2.458s,29
15,21,Toranosuke Takagi,Arrows,+2.649s,27
18,22,Olivier Panis,Prost Peugeot,+3.391s,6
