,Position,Driver,Car,Laps,Time,Points
5,1,Sebastian Vettel,Ferrari,68,1:28:31.377,25
77,2,Valtteri Bottas,Mercedes,68,+7.376s,18
33,3,Max Verstappen,Red Bull Racing TAG Heuer,68,+8.360s,15
3,4,Daniel Ricciardo,Red Bull Racing TAG Heuer,68,+20.892s,12
44,5,Lewis Hamilton,Mercedes,68,+21.559s,10
7,6,Kimi Räikkönen,Ferrari,68,+27.184s,8
27,7,Nico Hulkenberg,Renault,67,+1 lap,6
55,8,Carlos Sainz,Renault,67,+1 lap,4
31,9,Esteban Ocon,Force India Mercedes,67,+1 lap,2
16,10,Charles Leclerc,Sauber Ferrari,67,+1 lap,1
10,11,Pierre Gasly,Scuderia Toro Rosso Honda,67,+1 lap,0
8,12,Romain Grosjean,Haas Ferrari,67,+1 lap,0
20,13,Kevin Magnussen,Haas Ferrari,67,+1 lap,0
11,14,Sergio Perez,Force India Mercedes,67,+1 lap,0
9,15,Marcus Ericsson,Sauber Ferrari,66,+2 laps,0
2,16,Stoffel Vandoorne,McLaren Renault,66,+2 laps,0
35,17,Sergey Sirotkin,Williams Mercedes,66,+2 laps,0
14,NC,Fernando Alonso,McLaren Renault,40,DNF,0
28,NC,Brendon Hartley,Scuderia Toro Rosso Honda,0,DNF,0
18,NC,Lance Stroll,Williams Mercedes,0,DNF,0
