,Position,Driver,Car,Q1,Q2,Q3,Laps
2,1,Felipe Massa,Ferrari,1:35.347,1:34.412,1:35.748,17
1,2,Kimi Räikkönen,Ferrari,1:35.645,1:34.188,1:36.230,13
23,3,Heikki Kovalainen,McLaren Mercedes,1:35.227,1:34.759,1:36.613,12
22,4,Lewis Hamilton,McLaren Mercedes,1:35.392,1:34.627,1:36.709,18
11,5,Jarno Trulli,Toyota,1:35.205,1:34.825,1:36.711,18
4,6,Robert Kubica,Sauber BMW,1:35.794,1:34.811,1:36.727,13
3,7,Nick Heidfeld,Sauber BMW,1:35.729,1:34.648,1:36.753,13
10,8,Mark Webber,Red Bull Renault,1:35.440,1:34.967,1:37.009,18
5,9,Fernando Alonso,Renault,1:35.983,1:35.140,1:38.450,18
12,10,Timo Glock,Toyota,1:35.891,1:35.000,1:39.656,20
16,11,Jenson Button,Honda,1:35.847,1:35.208,,15
9,12,David Coulthard,Red Bull Renault,1:36.058,1:35.408,,12
6,13,Nelson Piquet,Renault,1:36.074,1:35.562,,12
17,14,Rubens Barrichello,Honda,1:36.198,1:35.622,,15
15,15,Sebastian Vettel,STR Ferrari,1:36.111,1:35.648,,15
7,16,Nico Rosberg,Williams Toyota,1:35.843,1:35.670,,13
21,17,Giancarlo Fisichella,Force India Ferrari,1:36.240,,,9
8,18,Kazuki Nakajima,Williams Toyota,1:36.388,,,9
14,19,Sebastien Bourdais,STR Ferrari,1:36.677,,,8
18,20,Takuma Sato,Super Aguri Honda,1:37.087,,,9
20,21,Adrian Sutil,Force India Ferrari,1:37.101,,,10
19,22,Anthony Davidson,Super Aguri Honda,1:37.481,,,9
