,Position,Driver,Car,Time
6,1,Nico Rosberg,Mercedes,1:35.402
3,2,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:35.917
7,3,Kimi Räikkönen,Ferrari,1:35.972
5,4,Sebastian Vettel,Ferrari,1:36.246
77,5,Valtteri Bottas,Williams Mercedes,1:36.296
26,6,Daniil Kvyat,Red Bull Racing TAG Heuer,1:36.399
11,7,Sergio Perez,Force India Mercedes,1:36.865
55,8,Carlos Sainz,Toro Rosso Ferrari,1:36.881
33,9,Max Verstappen,Toro Rosso Ferrari,1:37.194
19,10,Felipe Massa,Williams Mercedes,1:37.347
14,11,Fernando Alonso,McLaren Honda,1:38.826
22,12,Jenson Button,McLaren Honda,1:39.093
27,13,Nico Hulkenberg,Force India Mercedes,
8,14,Romain Grosjean,Haas Ferrari,1:39.830
9,15,Marcus Ericsson,Sauber Ferrari,1:40.742
12,16,Felipe Nasr,Sauber Ferrari,1:42.430
20,17,Kevin Magnussen,Renault,1:38.673
21,18,Esteban Gutierrez ,Haas Ferrari,1:38.770
30,19,Jolyon Palmer,Renault,1:39.528
88,20,Rio Haryanto,MRT Mercedes,1:40.264
94,21,Pascal Wehrlein,MRT Mercedes,
44,22,Lewis Hamilton,Mercedes,
