,Position,Driver,Car,Q1,Q2,Q3,Laps
6,1,Nico Rosberg,Mercedes,1:37.669,1:36.240,1:35.402,16
3,2,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:37.672,1:36.815,1:35.917,13
7,3,Kimi Räikkönen,Ferrari,1:37.347,1:36.118,1:35.972,13
5,4,Sebastian Vettel,Ferrari,1:37.001,1:36.183,1:36.246,10
77,5,Valtteri Bottas,Williams Mercedes,1:37.537,1:36.831,1:36.296,13
26,6,Daniil Kvyat,Red Bull Racing TAG Heuer,1:37.719,1:36.948,1:36.399,14
11,7,Sergio Perez,Force India Mercedes,1:38.096,1:37.149,1:36.865,15
55,8,Carlos Sainz,Toro Rosso Ferrari,1:37.656,1:37.204,1:36.881,15
33,9,Max Verstappen,Toro Rosso Ferrari,1:38.181,1:37.265,1:37.194,15
27,10,Nico Hulkenberg,Force India Mercedes,1:38.165,1:37.333,,10
19,11,Felipe Massa,Williams Mercedes,1:38.016,1:37.347,,9
14,12,Fernando Alonso,McLaren Honda,1:38.451,1:38.826,,11
22,13,Jenson Button,McLaren Honda,1:37.593,1:39.093,,11
8,14,Romain Grosjean,Haas Ferrari,1:38.425,1:39.830,,13
9,15,Marcus Ericsson,Sauber Ferrari,1:38.321,1:40.742,,11
12,16,Felipe Nasr,Sauber Ferrari,1:38.654,1:42.430,,11
20,17,Kevin Magnussen,Renault,1:38.673,,,9
21,18,Esteban Gutierrez ,Haas Ferrari,1:38.770,,,9
30,19,Jolyon Palmer,Renault,1:39.528,,,9
88,20,Rio Haryanto,MRT Mercedes,1:40.264,,,9
94,NC,Pascal Wehrlein,MRT Mercedes,DNF,,,2
44,NC,Lewis Hamilton,Mercedes,DNF,,,3
