,Position,Driver,Car,Time / Gap,Laps
44,1,Lewis Hamilton,Mercedes,1:34.478,15
5,2,Sebastian Vettel,Ferrari,+0.092s,19
77,3,Valtteri Bottas,Mercedes,+0.214s,17
7,4,Kimi Räikkönen,Ferrari,+0.277s,17
33,5,Max Verstappen,Red Bull Racing TAG Heuer,+0.625s,14
19,6,Felipe Massa,Williams Mercedes,+0.868s,11
27,7,Nico Hulkenberg,Renault,+1.130s,21
55,8,Carlos Sainz,Renault,+1.172s,16
3,9,Daniel Ricciardo,Red Bull Racing TAG Heuer,+1.245s,17
11,10,Sergio Perez,Force India Mercedes,+1.324s,16
31,11,Esteban Ocon,Force India Mercedes,+1.487s,17
18,12,Lance Stroll,Williams Mercedes,+1.640s,12
14,13,Fernando Alonso,McLaren Honda,+1.761s,15
2,14,Stoffel Vandoorne,McLaren Honda,+2.121s,14
39,15,Brendon Hartley,Toro Rosso,+2.340s,26
20,16,Kevin Magnussen,Haas Ferrari,+2.793s,16
9,17,Marcus Ericsson,Sauber Ferrari,+2.841s,17
94,18,Pascal Wehrlein,Sauber Ferrari,+3.329s,15
8,19,Romain Grosjean,Haas Ferrari,+3.413s,9
26,20,Daniil Kvyat,Toro Rosso,+4.022s,6
