,Position,Driver,Car,Lap,Time,Avg Speed
2,1,Mark Webber,Red Bull Racing Renault,48,1:29.703,214.226
19,2,Jaime Alguersuari,STR Ferrari,57,1:29.894,213.771
1,3,Sebastian Vettel,Red Bull Racing Renault,50,1:29.937,213.669
3,4,Lewis Hamilton,McLaren Mercedes,48,1:30.108,213.264
9,5,Nick Heidfeld,Renault,52,1:30.158,213.145
5,6,Fernando Alonso,Ferrari,48,1:30.279,212.860
8,7,Nico Rosberg,Mercedes,47,1:30.573,212.169
10,8,Vitaly Petrov,Renault,48,1:30.618,212.063
17,9,Sergio Perez,Sauber Ferrari,46,1:30.797,211.645
16,10,Kamui Kobayashi,Sauber Ferrari,45,1:31.038,211.085
6,11,Felipe Massa,Ferrari,57,1:31.118,210.900
7,12,Michael Schumacher,Mercedes,47,1:31.153,210.819
4,13,Jenson Button,McLaren Mercedes,47,1:31.167,210.786
18,14,Sebastien Buemi,STR Ferrari,44,1:31.360,210.341
12,15,Pastor Maldonado,Williams Cosworth,44,1:32.044,208.778
14,16,Adrian Sutil,Force India Mercedes,43,1:32.070,208.719
11,17,Rubens Barrichello,Williams Cosworth,46,1:32.079,208.699
15,18,Paul di Resta,Force India Mercedes,40,1:32.519,207.706
20,19,Heikki Kovalainen,Lotus Renault,55,1:32.695,207.312
21,20,Jarno Trulli,Lotus Renault,49,1:32.862,206.939
22,21,Narain Karthikeyan,HRT Cosworth,51,1:33.948,204.547
23,22,Vitantonio Liuzzi,HRT Cosworth,41,1:34.699,202.925
25,23,Jerome d'Ambrosio,Virgin Cosworth,55,1:34.971,202.343
