,Position,Driver,Car,Time
1,1,Sebastian Vettel,Red Bull Racing Renault,1:25.049
2,2,Mark Webber,Red Bull Racing Renault,1:25.454
8,3,Nico Rosberg,Mercedes,1:25.574
3,4,Lewis Hamilton,McLaren Mercedes,1:25.595
5,5,Fernando Alonso,Ferrari,1:25.851
4,6,Jenson Button,McLaren Mercedes,1:25.982
10,7,Vitaly Petrov,Renault,1:26.296
7,8,Michael Schumacher,Mercedes,1:26.646
9,9,Nick Heidfeld,Renault,1:26.659
6,10,Felipe Massa,Ferrari,
11,11,Rubens Barrichello,Williams Cosworth,1:26.764
14,12,Adrian Sutil,Force India Mercedes,1:27.027
15,13,Paul di Resta,Force India Mercedes,1:27.145
12,14,Pastor Maldonado,Williams Cosworth,1:27.236
17,15,Sergio Perez,Sauber Ferrari,1:27.244
18,16,Sebastien Buemi,STR Ferrari,1:27.255
19,17,Jaime Alguersuari,STR Ferrari,1:27.572
20,18,Heikki Kovalainen,Lotus Renault,1:28.780
21,19,Jarno Trulli,Lotus Renault,1:29.673
23,20,Vitantonio Liuzzi,HRT Cosworth,1:30.692
24,21,Timo Glock,Virgin Cosworth,1:30.813
22,22,Narain Karthikeyan,HRT Cosworth,1:31.564
25,23,Jerome d'Ambrosio,Virgin Cosworth,1:30.445
16,24,Kamui Kobayashi,Sauber Ferrari,
