,Position,Driver,Car,Laps,Time,Points
34,1,Juan Manuel Fangio,Ferrari,98,OK,5
4,2,Jean Behra,Maserati,98,+24.400s,6
14,3,Mike Hawthorn,Maserati,96,+2 laps,4
10,4,Gerino  Gerini ,Maserati,92,+6 laps,1.5
38,5,Olivier  Gendebien,Ferrari,91,+7 laps,2
16,6,Oscar  Gonzalez ,Maserati,88,+10 laps,0
2,NC,Stirling Moss,Maserati,81,DNF,0
36,NC,Peter Collins,Ferrari,58,DNF,0
8,NC,Luigi Piotti,Maserati,57,DNF,0
6,NC,Carlos Menditeguy,Maserati,42,DNF,0
32,NC,Eugenio Castellotti,Ferrari,40,DNF,0
12,NC,Jose Froilan Gonzalez,Maserati,24,DNF,0
30,NC,Juan Manuel Fangio,Ferrari,22,DNF,0
