,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
7,1,Kimi Räikkönen,Ferrari,56,1:26.538,220.605,17:29:33
77,2,Valtteri Bottas,Mercedes,56,1:26.593,220.465,17:29:23
5,3,Sebastian Vettel,Ferrari,53,1:26.638,220.351,17:24:49
26,4,Daniil Kvyat,Toro Rosso,51,1:26.711,220.165,17:23:52
33,5,Max Verstappen,Red Bull Racing TAG Heuer,43,1:26.964,219.525,17:10:39
44,6,Lewis Hamilton,Mercedes,44,1:27.033,219.351,17:11:49
20,7,Kevin Magnussen,Haas Ferrari,46,1:27.568,218.011,17:18:31
55,8,Carlos Sainz,Toro Rosso,53,1:27.677,217.740,17:26:31
19,9,Felipe Massa,Williams Mercedes,49,1:28.045,216.830,17:20:09
11,10,Sergio Perez,Force India Mercedes,56,1:28.336,216.115,17:30:55
31,11,Esteban Ocon,Force India Mercedes,55,1:28.475,215.776,17:30:18
27,12,Nico Hulkenberg,Renault,55,1:28.486,215.749,17:30:19
36,13,Antonio Giovinazzi,Sauber Ferrari,51,1:29.052,214.378,17:25:08
18,14,Lance Stroll,Williams Mercedes,38,1:29.389,213.569,17:05:07
2,15,Stoffel Vandoorne,McLaren Honda,53,1:29.440,213.448,17:28:27
3,16,Daniel Ricciardo,Red Bull Racing TAG Heuer,21,1:29.447,213.431,16:41:40
14,17,Fernando Alonso,McLaren Honda,48,1:30.077,211.938,17:19:51
8,18,Romain Grosjean,Haas Ferrari,12,1:30.183,211.689,16:24:44
9,19,Marcus Ericsson,Sauber Ferrari,18,1:32.052,207.391,16:34:46
30,20,Jolyon Palmer,Renault,6,1:32.195,207.069,16:15:59
