,Position,Driver,Car,Q1,Q2,Q3,Laps
44,1,Lewis Hamilton,Mercedes,1:24.191,1:23.251,1:22.188,14
5,2,Sebastian Vettel,Ferrari,1:25.210,1:23.401,1:22.456,17
77,3,Valtteri Bottas,Mercedes,1:24.514,1:23.215,1:22.481,13
7,4,Kimi Räikkönen,Ferrari,1:24.352,1:23.376,1:23.033,19
33,5,Max Verstappen,Red Bull Racing TAG Heuer,1:24.482,1:24.092,1:23.485,18
8,6,Romain Grosjean,Haas Ferrari,1:25.419,1:24.718,1:24.074,17
19,7,Felipe Massa,Williams Mercedes,1:25.099,1:24.597,1:24.443,16
55,8,Carlos Sainz,Toro Rosso,1:25.542,1:24.997,1:24.487,16
26,9,Daniil Kvyat,Toro Rosso,1:25.970,1:24.864,1:24.512,16
3,10,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:25.383,1:23.989,DNF,10
11,11,Sergio Perez,Force India Mercedes,1:25.064,1:25.081,,13
27,12,Nico Hulkenberg,Renault,1:24.975,1:25.091,,12
14,13,Fernando Alonso,McLaren Honda,1:25.872,1:25.425,,15
31,14,Esteban Ocon,Force India Mercedes,1:26.009,1:25.568,,16
9,15,Marcus Ericsson,Sauber Ferrari,1:26.236,1:26.465,,15
36,16,Antonio Giovinazzi,Sauber Ferrari,1:26.419,,,8
20,17,Kevin Magnussen,Haas Ferrari,1:26.847,,,7
2,18,Stoffel Vandoorne,McLaren Honda,1:26.858,,,6
18,19,Lance Stroll,Williams Mercedes,1:27.143,,,7
30,20,Jolyon Palmer,Renault,1:28.244,,,7
