,Position,Driver,Car,Q1,Q2,Q3,Laps
1,1,Sebastian Vettel,Red Bull Racing Renault,1:36.558,1:35.796,1:35.657,20
4,2,Lewis Hamilton,McLaren Mercedes,1:37.058,1:36.795,1:35.766,20
2,3,Mark Webber,Red Bull Racing Renault,1:37.215,1:36.298,1:36.174,20
10,4,Romain Grosjean,Lotus Renault,1:37.486,1:36.906,1:36.587,28
9,5,Kimi Räikkönen,Lotus Renault,1:38.051,1:37.404,1:36.708,26
7,6,Michael Schumacher,Mercedes,1:37.927,1:37.102,1:36.794,22
6,7,Felipe Massa,Ferrari,1:37.667,1:36.549,1:36.937,24
12,8,Nico Hulkenberg,Force India Mercedes,1:37.756,1:37.066,1:37.141,20
5,9,Fernando Alonso,Ferrari,1:37.968,1:37.123,1:37.300,24
18,10,Pastor Maldonado,Williams Renault,1:37.537,1:37.011,1:37.842,26
19,11,Bruno Senna,Williams Renault,1:37.520,1:37.604,,20
3,12,Jenson Button,McLaren Mercedes,1:37.565,1:37.616,,12
11,13,Paul di Resta,Force India Mercedes,1:38.104,1:37.665,,15
17,14,Jean-Eric Vergne,STR Ferrari,1:38.434,1:37.879,,17
15,15,Sergio Perez,Sauber Ferrari,1:38.500,1:38.206,,16
14,16,Kamui Kobayashi,Sauber Ferrari,1:38.418,1:38.437,,15
8,17,Nico Rosberg,Mercedes,1:38.862,1:38.501,,16
16,18,Daniel Ricciardo,STR Ferrari,1:39.114,,,9
24,19,Timo Glock,Marussia Cosworth,1:40.056,,,12
25,20,Charles Pic,Marussia Cosworth,1:40.664,,,11
21,21,Vitaly Petrov,Caterham Renault,1:40.809,,,7
20,22,Heikki Kovalainen,Caterham Renault,1:41.166,,,7
22,23,Pedro de la Rosa,HRT Cosworth,1:42.011,,,12
23,24,Narain Karthikeyan,HRT Cosworth,1:42.740,,,10
