,Position,Driver,Car,Lap,Time,Avg Speed
1,1,Sebastian Vettel,Red Bull Racing Renault,56,1:39.347,199.772
6,2,Felipe Massa,Ferrari,56,1:39.402,199.661
9,3,Kimi Räikkönen,Lotus Renault,56,1:39.474,199.517
5,4,Fernando Alonso,Ferrari,56,1:39.672,199.121
4,5,Lewis Hamilton,McLaren Mercedes,55,1:39.709,199.047
3,6,Jenson Button,McLaren Mercedes,54,1:40.150,198.170
14,7,Kamui Kobayashi,Sauber Ferrari,55,1:40.315,197.844
8,8,Nico Rosberg,Mercedes,51,1:40.428,197.622
11,9,Paul di Resta,Force India Mercedes,55,1:40.594,197.296
10,10,Romain Grosjean,Lotus Renault,55,1:40.625,197.235
15,11,Sergio Perez,Sauber Ferrari,53,1:40.701,197.086
18,12,Pastor Maldonado,Williams Renault,53,1:40.719,197.051
19,13,Bruno Senna,Williams Renault,53,1:40.745,197.000
16,14,Daniel Ricciardo,STR Ferrari,53,1:40.772,196.947
7,15,Michael Schumacher,Mercedes,54,1:40.923,196.652
12,16,Nico Hulkenberg,Force India Mercedes,53,1:41.048,196.409
25,17,Charles Pic,Marussia Cosworth,54,1:42.481,193.663
21,18,Vitaly Petrov,Caterham Renault,55,1:42.824,193.017
20,19,Heikki Kovalainen,Caterham Renault,50,1:43.072,192.552
24,20,Timo Glock,Marussia Cosworth,40,1:43.324,192.083
2,21,Mark Webber,Red Bull Racing Renault,13,1:43.599,191.573
23,22,Narain Karthikeyan,HRT Cosworth,51,1:44.508,189.906
22,23,Pedro de la Rosa,HRT Cosworth,43,1:44.664,189.623
17,24,Jean-Eric Vergne,STR Ferrari,12,1:44.775,189.423
