,Position,Driver,Car,Time / Gap,Laps
55,1,Carlos Sainz,Ferrari,1:42.587,23
16,2,Charles Leclerc,Ferrari,+0.208s,14
63,3,George Russell,Mercedes,+0.324s,26
1,4,Max Verstappen,Red Bull Racing RBPT,+0.339s,8
44,5,Lewis Hamilton,Mercedes,+0.595s,22
31,6,Esteban Ocon,Alpine Renault,+0.825s,23
77,7,Valtteri Bottas,Alfa Romeo Ferrari,+0.844s,26
14,8,Fernando Alonso,Alpine Renault,+0.933s,23
11,9,Sergio Perez,Red Bull Racing RBPT,+1.319s,13
18,10,Lance Stroll,Aston Martin Aramco Mercedes,+1.395s,21
4,11,Lando Norris,McLaren Mercedes,+1.426s,16
5,12,Sebastian Vettel,Aston Martin Aramco Mercedes,+1.662s,24
20,13,Kevin Magnussen,Haas Ferrari,+1.835s,22
10,14,Pierre Gasly,AlphaTauri RBPT,+1.882s,22
24,15,Guanyu Zhou,Alfa Romeo Ferrari,+1.937s,25
23,16,Alexander Albon,Williams Mercedes,+2.557s,25
22,17,Yuki Tsunoda,AlphaTauri RBPT,+2.624s,11
3,18,Daniel Ricciardo,McLaren Mercedes,+2.860s,18
47,19,Mick Schumacher,Haas Ferrari,+3.036s,23
6,20,Nicholas Latifi,Williams Mercedes,+3.966s,25
