,Position,Driver,Car,Time,Laps
3,1,Jacques Villeneuve,Williams Renault,1:21.598,12
4,2,Heinz-Harald Frentzen,Williams Renault,1:21.732,11
9,3,Mika Hakkinen,McLaren Mercedes,1:21.797,8
5,4,Michael Schumacher,Ferrari,1:21.977,12
11,5,Ralf Schumacher,Jordan Peugeot,1:22.277,12
10,6,David Coulthard,McLaren Mercedes,1:22.279,11
6,7,Eddie Irvine,Ferrari,1:22.342,12
8,8,Alexander Wurz,Benetton Renault,1:22.344,12
16,9,Johnny Herbert,Sauber Petronas,1:22.368,12
12,10,Giancarlo Fisichella,Jordan Peugeot,1:22.371,11
7,11,Jean Alesi,Benetton Renault,1:22.392,11
1,12,Damon Hill,Arrows Yamaha,1:23.271,11
14,13,Jarno Trulli,Prost Mugen Honda,1:23.366,12
17,14,Norberto Fontana,Sauber Petronas,1:23.790,12
15,15,Shinji Nakano,Prost Mugen Honda,1:23.887,11
23,16,Jan Magnussen,Stewart Ford,1:24.067,10
2,17,Pedro Diniz,Arrows Yamaha,1:24.239,12
19,18,Mika Salo,Tyrrell Ford,1:24.478,12
20,19,Ukyo Katayama,Minardi Hart,1:24.553,12
18,20,Jos Verstappen,Tyrrell Ford,1:25.010,12
21,21,Tarso Marques,Minardi Hart,1:25.154,12
22,22,Rubens Barrichello,Stewart Ford,1:25.525,4
