,Position,Driver,Car,Laps,Time,Points
2,1,Emerson Fittipaldi,Lotus Ford,96,1:56:18.220,9
8,2,Francois  Cevert ,Tyrrell Ford,96,+4.690s,6
6,3,Jackie Stewart,Tyrrell Ford,96,+33.190s,4
18,4,Jacky Ickx,Ferrari,96,+42.570s,3
14,5,Denny Hulme,McLaren Ford,95,+1 lap,2
12,6,Wilson Fittipaldi,Brabham Ford,95,+1 lap,1
32,7,Clay Regazzoni,BRM,93,+3 laps,0
16,8,Peter   Revson,McLaren Ford,92,+4 laps,0
20,9,Arturo Merzario,Ferrari,92,+4 laps,0
22,10,Mike  Beuttler ,March Ford,90,DNF,0
24,NC,Jean-Pierre Jarier,March Ford,84,DNF,0
30,NC,Jean-Pierre Beltoise,BRM,79,DNF,0
38,NC,Howden  Ganley ,Iso Marlboro Ford,79,+17 laps,0
4,NC,Ronnie Peterson,Lotus Ford,66,DNF,0
34,NC,Niki Lauda,BRM,66,DNF,0
10,NC,Carlos Reutemann,Brabham Ford,16,DNF,0
28,NC,Carlos Pace,Surtees Ford,10,DNF,0
26,NC,Mike Hailwood,Surtees Ford,10,DNF,0
36,NC,Nanni  Galli ,Iso Marlboro Ford,0,DNF,0
