,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
77,1,Valtteri Bottas,Mercedes,50,1:35.861,219.617,15:36:10
44,2,Lewis Hamilton,Mercedes,50,1:35.916,219.492,15:36:08
5,3,Sebastian Vettel,Ferrari,50,1:35.990,219.322,15:36:14
33,4,Max Verstappen,Red Bull Racing TAG Heuer,45,1:36.283,218.655,15:28:30
3,5,Daniel Ricciardo,Red Bull Racing TAG Heuer,41,1:36.345,218.514,15:22:39
7,6,Kimi Räikkönen,Ferrari,47,1:36.611,217.913,15:31:30
9,7,Marcus Ericsson,Sauber Ferrari,39,1:37.931,214.975,15:20:22
20,8,Kevin Magnussen,Haas Ferrari,52,1:38.015,214.791,15:41:12
16,9,Charles Leclerc,Sauber Ferrari,52,1:38.107,214.590,15:40:56
8,10,Romain Grosjean,Haas Ferrari,46,1:38.244,214.290,15:31:39
11,11,Sergio Perez,Force India Mercedes,47,1:38.300,214.168,15:33:05
31,12,Esteban Ocon,Force India Mercedes,52,1:38.366,214.025,15:41:16
27,13,Nico Hulkenberg,Renault,52,1:39.108,212.422,15:41:40
18,14,Lance Stroll,Williams Mercedes,44,1:39.435,211.724,15:28:53
14,15,Fernando Alonso,McLaren Renault,44,1:39.590,211.394,15:28:52
55,16,Carlos Sainz,Renault,35,1:39.731,211.095,15:14:01
35,17,Sergey Sirotkin,Williams Mercedes,43,1:39.838,210.869,15:27:38
2,18,Stoffel Vandoorne,McLaren Renault,41,1:39.922,210.692,15:24:13
10,19,Pierre Gasly,Scuderia Toro Rosso Honda,3,1:44.071,202.292,14:18:59
28,20,Brendon Hartley,Scuderia Toro Rosso Honda,2,1:45.852,198.889,14:17:14
