,Position,Driver,Car,Laps,Time,Points
44,1,Lewis Hamilton,Mercedes,53,1:27:25.181,25
77,2,Valtteri Bottas,Mercedes,53,+2.545s,18
5,3,Sebastian Vettel,Ferrari,53,+7.487s,15
7,4,Kimi Räikkönen,Ferrari,53,+16.543s,12
33,5,Max Verstappen,Red Bull Racing TAG Heuer,53,+31.016s,10
3,6,Daniel Ricciardo,Red Bull Racing TAG Heuer,53,+80.451s,8
16,7,Charles Leclerc,Sauber Ferrari,53,+98.390s,6
20,8,Kevin Magnussen,Haas Ferrari,52,+1 lap,4
31,9,Esteban Ocon,Force India Mercedes,52,+1 lap,2
11,10,Sergio Perez,Force India Mercedes,52,+1 lap,1
8,11,Romain Grosjean,Haas Ferrari,52,+1 lap,0
27,12,Nico Hulkenberg,Renault,52,+1 lap,0
9,13,Marcus Ericsson,Sauber Ferrari,52,+1 lap,0
14,14,Fernando Alonso,McLaren Renault,52,+1 lap,0
18,15,Lance Stroll,Williams Mercedes,52,+1 lap,0
2,16,Stoffel Vandoorne,McLaren Renault,51,+2 laps,0
55,17,Carlos Sainz,Renault,51,+2 laps,0
35,18,Sergey Sirotkin,Williams Mercedes,51,+2 laps,0
10,NC,Pierre Gasly,Scuderia Toro Rosso Honda,4,DNF,0
28,NC,Brendon Hartley,Scuderia Toro Rosso Honda,4,DNF,0
