,Position,Driver,Car,Q1,Q2,Q3,Laps
77,1,Valtteri Bottas,Mercedes,1:32.964,1:32.744,1:31.387,18
44,2,Lewis Hamilton,Mercedes,1:32.410,1:32.595,1:31.532,18
5,3,Sebastian Vettel,Ferrari,1:33.476,1:33.045,1:31.943,19
7,4,Kimi Räikkönen,Ferrari,1:33.341,1:33.065,1:32.237,18
20,5,Kevin Magnussen,Haas Ferrari,1:34.078,1:33.747,1:33.181,15
31,6,Esteban Ocon,Force India Mercedes,1:34.290,1:33.596,1:33.413,17
16,7,Charles Leclerc,Sauber Ferrari,1:33.924,1:33.488,1:33.419,17
11,8,Sergio Perez,Force India Mercedes,1:34.084,1:33.923,1:33.563,16
8,9,Romain Grosjean,Haas Ferrari,1:34.022,1:33.517,1:33.704,17
9,10,Marcus Ericsson,Sauber Ferrari,1:34.170,1:33.995,1:35.196,17
33,11,Max Verstappen,Red Bull Racing TAG Heuer,1:33.048,,,5
3,12,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:33.247,,,4
10,13,Pierre Gasly,Scuderia Toro Rosso Honda,1:34.383,,,8
55,14,Carlos Sainz,Renault,1:34.626,,,6
27,15,Nico Hulkenberg,Renault,1:34.655,,,6
28,16,Brendon Hartley,Scuderia Toro Rosso Honda,1:35.037,,,7
14,17,Fernando Alonso,McLaren Renault,1:35.504,,,6
35,18,Sergey Sirotkin,Williams Mercedes,1:35.612,,,6
2,19,Stoffel Vandoorne,McLaren Renault,1:35.977,,,6
18,20,Lance Stroll,Williams Mercedes,1:36.437,,,7
