,Position,Driver,Car,Time
77,1,Valtteri Bottas,Mercedes,1:31.387
44,2,Lewis Hamilton,Mercedes,1:31.532
5,3,Sebastian Vettel,Ferrari,1:31.943
7,4,Kimi Räikkönen,Ferrari,1:32.237
20,5,Kevin Magnussen,Haas Ferrari,1:33.181
31,6,Esteban Ocon,Force India Mercedes,1:33.413
16,7,Charles Leclerc,Sauber Ferrari,1:33.419
11,8,Sergio Perez,Force India Mercedes,1:33.563
8,9,Romain Grosjean,Haas Ferrari,1:33.704
9,10,Marcus Ericsson,Sauber Ferrari,1:35.196
55,11,Carlos Sainz,Renault,
27,12,Nico Hulkenberg,Renault,
35,13,Sergey Sirotkin,Williams Mercedes,1:35.612
18,14,Lance Stroll,Williams Mercedes,1:36.437
2,15,Stoffel Vandoorne,McLaren Renault,1:35.977
14,16,Fernando Alonso,McLaren Renault,1:35.504
10,17,Pierre Gasly,Scuderia Toro Rosso Honda,
3,18,Daniel Ricciardo,Red Bull Racing TAG Heuer,
33,19,Max Verstappen,Red Bull Racing TAG Heuer,
28,20,Brendon Hartley,Scuderia Toro Rosso Honda,1:35.037
