,Position,Driver,Car,Time,Laps
6,1,Juan Pablo Montoya,Williams BMW,1:22.216,12
2,2,Rubens Barrichello,Ferrari,1:22.528,11
1,3,Michael Schumacher,Ferrari,1:22.624,10
5,4,Ralf Schumacher,Williams BMW,1:22.841,12
11,5,Jarno Trulli,Jordan Honda,1:23.126,12
4,6,David Coulthard,McLaren Mercedes,1:23.148,12
3,7,Mika Hakkinen,McLaren Mercedes,1:23.394,11
16,8,Nick Heidfeld,Sauber Petronas,1:23.417,12
17,9,Kimi Räikkönen,Sauber Petronas,1:23.595,11
19,10,Pedro de la Rosa,Jaguar Cosworth,1:23.693,11
8,11,Jenson Button,Benetton Renault,1:23.892,12
22,12,Heinz-Harald Frentzen,Prost Acer,1:23.943,12
18,13,Eddie Irvine,Jaguar Cosworth,1:24.031,10
7,14,Giancarlo Fisichella,Benetton Renault,1:24.090,9
10,15,Jacques Villeneuve,BAR Honda,1:24.164,12
12,16,Jean Alesi,Jordan Honda,1:24.198,12
9,17,Olivier Panis,BAR Honda,1:24.677,11
15,18,Enrique Bernoldi,Arrows Asiatech,1:25.444,12
14,19,Jos Verstappen,Arrows Asiatech,1:25.511,12
23,20,Tomas Enge,Prost Acer,1:26.039,9
21,21,Fernando Alonso,Minardi European,1:26.218,9
20,22,Alex Yoong,Minardi European,1:27.463,11
