,Position,Driver,Car,Lap,Time
3,1,Jean Alesi,Benetton Renault,59,1:25.205
9,2,Olivier Panis,Ligier Mugen Honda,65,1:25.581
15,3,Heinz-Harald Frentzen,Sauber Ford,66,1:25.608
2,4,Eddie Irvine,Ferrari,48,1:26.120
8,5,David Coulthard,McLaren Mercedes,68,1:26.238
19,6,Mika Salo,Tyrrell Yamaha,68,1:26.461
7,7,Mika Hakkinen,McLaren Mercedes,69,1:26.482
6,8,Jacques Villeneuve,Williams Renault,65,1:26.682
14,9,Johnny Herbert,Sauber Ford,68,1:26.852
5,10,Damon Hill,Williams Renault,40,1:28.523
22,11,Luca Badoer,Forti Ford,45,1:33.305
12,12,Martin Brundle,Jordan Peugeot,30,1:35.477
4,13,Gerhard Berger,Benetton Renault,8,1:49.966
10,14,Pedro Diniz,Ligier Mugen Honda,5,1:53.469
18,15,Ukyo Katayama,Tyrrell Yamaha,2,1:55.722
16,16,Ricardo Rosset,Footwork Hart,3,1:58.465
