,Position,Driver,Car,Lap,Time,Avg Speed
16,1,Nico Rosberg,Williams Toyota,48,1:27.706,217.668
5,2,Robert Kubica,Sauber BMW,36,1:27.988,216.970
22,3,Jenson Button,Brawn Mercedes,17,1:28.020,216.891
15,4,Sebastian Vettel,RBR Renault,8,1:28.140,216.596
6,5,Nick Heidfeld,Sauber BMW,48,1:28.283,216.245
10,6,Timo Glock,Toyota,53,1:28.416,215.920
4,7,Kimi Räikkönen,Ferrari,35,1:28.488,215.744
14,8,Mark Webber,RBR Renault,38,1:28.508,215.695
7,9,Fernando Alonso,Renault,53,1:28.712,215.199
9,10,Jarno Trulli,Toyota,50,1:28.916,214.706
20,11,Adrian Sutil,Force India Mercedes,43,1:28.943,214.640
21,12,Giancarlo Fisichella,Force India Mercedes,51,1:29.005,214.491
1,13,Lewis Hamilton,McLaren Mercedes,39,1:29.020,214.455
23,14,Rubens Barrichello,Brawn Mercedes,43,1:29.066,214.344
3,15,Felipe Massa,Ferrari,30,1:29.141,214.164
12,16,Sebastien Buemi,STR Ferrari,34,1:29.230,213.950
11,17,Sebastien Bourdais,STR Ferrari,50,1:29.823,212.537
17,18,Kazuki Nakajima,Williams Toyota,6,1:29.923,212.301
8,19,Nelson Piquet,Renault,17,1:30.502,210.943
