,Position,Driver,Car,Lap,Time
15,1,Alain Prost,Renault,34,1:42.695
5,2,Nelson Piquet,Brabham BMW,6,1:43.552
16,3,Eddie  Cheever,Renault,6,1:43.590
6,4,Riccardo Patrese,Brabham BMW,14,1:43.803
22,5,Andrea de Cesaris,Alfa Romeo,22,1:44.106
27,6,Patrick Tambay,Ferrari,36,1:44.185
28,7,Rene Arnoux,Ferrari,26,1:45.005
1,8,Keke Rosberg,Williams Honda,37,1:45.022
2,9,Jacques Laffite,Williams Honda,30,1:45.223
29,10,Marc Surer,Arrows Ford,51,1:45.748
8,11,Niki Lauda,McLaren TAG,21,1:45.974
23,12,Mauro Baldi,Alfa Romeo,28,1:46.253
3,13,Michele Alboreto,Tyrrell Ford,45,1:46.291
34,14,Johnny Cecotto,Theodore Ford,46,1:46.526
9,15,Manfred Winkelhock,ATS BMW,9,1:46.546
7,16,John Watson,McLaren TAG,3,1:46.818
25,17,Jean-Pierre Jarier,Ligier Ford,6,1:46.841
11,18,Elio de Angelis,Lotus Ford,4,1:46.995
35,19,Derek Warwick,Toleman Hart,12,1:47.344
36,20,Bruno Giacomelli,Toleman Hart,14,1:47.367
33,21,Roberto Guerrero,Theodore Ford,19,1:47.442
4,22,Danny Sullivan,Tyrrell Ford,14,1:47.759
30,23,Chico Serra,Arrows Ford,15,1:48.101
31,24,Corrado Fabi,Osella Ford,11,1:48.666
12,25,Nigel Mansell,Lotus Ford,3,1:48.723
26,26,Raul Boesel,Ligier Ford,34,1:49.893
