,Position,Driver,Car,Time
12,1,Niki Lauda,Ferrari,6:58.600
8,2,Carlos Pace,Brabham Ford,7:00.000
3,3,Jody Scheckter,Tyrrell Ford,7:01.300
4,4,Patrick Depailler,Tyrrell Ford,7:01.400
11,5,Clay Regazzoni,Ferrari,7:01.600
2,6,Jochen Mass,McLaren Ford,7:01.800
10,7,Hans-Joachim Stuck,March Ford,7:02.100
1,8,Emerson Fittipaldi,McLaren Ford,7:02.700
24,9,James Hunt,Hesketh Ford,7:02.700
7,10,Carlos Reutemann,Brabham Ford,7:04.000
9,11,Vittorio Brambilla,March Ford,7:06.000
17,12,Jean-Pierre Jarier,Shadow Matra,7:07.100
27,13,Mario Andretti,Parnelli Ford,7:08.200
6,14,John Watson,Lotus Ford,7:09.400
21,15,Jacques Laffite,Frank Williams Racing Cars/Williams,7:10.000
16,16,Tom Pryce,Shadow Matra,7:10.100
23,17,Tony Brise,Lola Ford,7:10.900
5,18,Ronnie Peterson,Lotus Ford,7:11.600
28,19,Mark Donohue,March Ford,7:11.800
20,20,Ian Ashley,Frank Williams Racing Cars/Williams,7:15.900
22,21,Alan  Jones,Lola Ford,7:18.600
30,22,Wilson Fittipaldi,Fittipaldi Ford,7:19.110
25,23,Harald Ertl,Hesketh Ford,7:19.500
19,24,Gijs van Lennep,Ensign Ford,7:20.400
29,25,Lella Lombardi,March Ford,7:36.400
