,Position,Driver,Car,Time
1,1,Mika Hakkinen,McLaren Mercedes,1:22.432
8,2,Heinz-Harald Frentzen,Jordan Mugen Honda,1:22.926
2,3,David Coulthard,McLaren Mercedes,1:23.177
5,4,Alessandro Zanardi,Williams Supertec,1:23.432
6,5,Ralf Schumacher,Williams Supertec,1:23.636
3,6,Mika Salo,Ferrari,1:23.657
16,7,Rubens Barrichello,Stewart Ford,1:23.739
4,8,Eddie Irvine,Ferrari,1:23.765
7,9,Damon Hill,Jordan Mugen Honda,1:23.979
18,10,Olivier Panis,Prost Peugeot,1:24.016
22,11,Jacques Villeneuve,BAR Supertec,1:24.188
19,12,Jarno Trulli,Prost Peugeot,1:24.293
11,13,Jean Alesi,Sauber Petronas,1:24.591
10,14,Alexander Wurz,Benetton Playlife,1:24.593
17,15,Johnny Herbert,Stewart Ford,1:24.594
12,16,Pedro Diniz,Sauber Petronas,1:24.596
9,17,Giancarlo Fisichella,Benetton Playlife,1:24.862
23,18,Ricardo Zonta,BAR Supertec,1:25.114
20,19,Luca Badoer,Minardi Ford,1:25.348
21,20,Marc Gene,Minardi Ford,1:25.695
14,21,Pedro de la Rosa,Arrows,1:26.383
15,22,Toranosuke Takagi,Arrows,1:26.509
