,Position,Driver,Car,Lap,Time
2,1,Alain Prost,Williams Renault,52,1:23.604
28,2,Gerhard Berger,Ferrari,60,1:23.660
8,3,Ayrton Senna,McLaren Ford,59,1:23.737
5,4,Michael Schumacher,Benetton Ford,18,1:24.177
0,5,Damon Hill,Williams Renault,52,1:24.590
29,6,Karl Wendlinger,Sauber,43,1:24.947
25,7,Martin Brundle,Ligier Renault,69,1:25.006
27,8,Jean Alesi,Ferrari,52,1:25.007
7,9,Michael Andretti,McLaren Ford,55,1:25.102
6,10,Riccardo Patrese,Benetton Ford,25,1:25.724
11,11,Alessandro Zanardi,Lotus Ford,38,1:26.317
23,12,Christian Fittipaldi,Minardi Ford,59,1:26.500
30,13,Jyrki Jarvilehto,Sauber,15,1:26.559
14,14,Rubens Barrichello,Jordan Hart,75,1:26.711
20,15,Erik Comas,Larrousse Lamborghini,17,1:26.960
19,16,Philippe Alliot,Larrousse Lamborghini,67,1:27.068
4,17,Andrea de Cesaris,Tyrrell Yamaha,65,1:27.222
9,18,Derek Warwick,Footwork Mugen Honda,19,1:27.283
10,19,Aguri Suzuki,Footwork Mugen Honda,35,1:27.388
12,20,Johnny Herbert,Lotus Ford,21,1:27.480
24,21,Fabrizio Barbazza,Minardi Ford,63,1:28.235
26,22,Mark Blundell,Ligier Renault,3,1:28.653
15,23,Thierry Boutsen,Jordan Hart,12,1:29.117
3,24,Ukyo Katayama,Tyrrell Yamaha,21,1:29.315
21,25,Michele Alboreto,Lola Ferrari,11,1:29.377
