,Position,Driver,Car,Laps,Time,Points
18,1,Jim Clark,Lotus Climax,53,2:10:54.300,9
12,2,Tony Maggs,Cooper Climax,53,+64.900s,6
2,3,Graham Hill,BRM,53,+133.900s,0
6,4,Jack Brabham,Brabham Climax,53,+135.200s,3
8,5,Dan Gurney,Brabham Climax,53,+153.400s,2
36,6,Jo Siffert,Lotus BRM,52,+1 lap,1
30,7,Chris Amon,Lola Climax,51,+2 laps,0
28,8,Maurice  Trintignant,Lotus Climax,50,+3 laps,0
32,9,Innes Ireland,BRP BRM,49,+4 laps,0
46,10,Lorenzo Bandini,BRM,45,+8 laps,0
34,11,Jim  Hall ,Lotus BRM,45,+8 laps,0
10,12,Bruce McLaren,Cooper Climax,42,DNF,0
20,13,Trevor  Taylor ,Lotus Climax,41,DNF,0
42,NC,Phil Hill,Lotus BRM,34,DNC,0
44,NC,Jo Bonnier,Cooper Climax,32,DNC,0
48,NC,Masten Gregory,Lotus BRM,30,DNF,0
16,NC,John Surtees,Ferrari,12,DNF,0
38,NC,Tony  Settember ,Scirocco BRM,5,DNF,0
4,NC,Richie Ginther,BRM,4,DNF,0
