,Position,Driver,Car,Time,Laps
1,1,Michael Schumacher,Ferrari,1:35.220,12
2,2,Rubens Barrichello,Ferrari,1:35.319,12
5,3,Ralf Schumacher,Williams BMW,1:35.511,12
3,4,Mika Hakkinen,McLaren Mercedes,1:36.040,11
12,5,Jarno Trulli,Jordan Honda,1:36.180,11
6,6,Juan Pablo Montoya,Williams BMW,1:36.218,11
10,7,Jacques Villeneuve,BAR Honda,1:36.397,12
4,8,David Coulthard,McLaren Mercedes,1:36.417,12
11,9,Heinz-Harald Frentzen,Jordan Honda,1:36.578,11
9,10,Olivier Panis,BAR Honda,1:36.681,12
16,11,Nick Heidfeld,Sauber Petronas,1:36.913,12
18,12,Eddie Irvine,Jaguar Cosworth,1:37.140,12
22,13,Jean Alesi,Prost Acer,1:37.406,12
17,14,Kimi Räikkönen,Sauber Petronas,1:37.728,9
19,15,Luciano Burti,Jaguar Cosworth,1:38.035,12
7,16,Giancarlo Fisichella,Benetton Renault,1:38.086,7
8,17,Jenson Button,Benetton Renault,1:38.258,12
14,18,Jos Verstappen,Arrows Asiatech,1:38.509,12
23,19,Gaston Mazzacane,Prost Acer,1:39.006,12
20,20,Tarso Marques,Minardi European,1:39.714,12
21,21,Fernando Alonso,Minardi European,1:40.249,11
