,Position,Driver,Car,Lap,Time,Avg Speed
3,1,Mika Hakkinen,McLaren Mercedes,48,1:40.962,197.646
5,2,Ralf Schumacher,Williams BMW,54,1:41.503,196.593
1,3,Michael Schumacher,Ferrari,2,1:41.833,195.956
2,4,Rubens Barrichello,Ferrari,2,1:42.037,195.564
11,5,Heinz-Harald Frentzen,Jordan Honda,50,1:42.119,195.407
4,6,David Coulthard,McLaren Mercedes,47,1:42.839,194.039
14,7,Jos Verstappen,Arrows Asiatech,55,1:43.029,193.681
10,8,Jacques Villeneuve,BAR Honda,2,1:43.470,192.855
12,9,Jarno Trulli,Jordan Honda,52,1:43.559,192.690
19,10,Luciano Burti,Jaguar Cosworth,52,1:43.697,192.433
22,11,Jean Alesi,Prost Acer,53,1:43.853,192.144
6,12,Juan Pablo Montoya,Williams BMW,2,1:43.926,192.009
23,13,Gaston Mazzacane,Prost Acer,53,1:43.991,191.889
8,14,Jenson Button,Benetton Renault,52,1:44.891,190.243
16,15,Nick Heidfeld,Sauber Petronas,2,1:45.328,189.453
21,16,Fernando Alonso,Minardi European,50,1:45.585,188.992
20,17,Tarso Marques,Minardi European,50,1:46.016,188.224
7,18,Giancarlo Fisichella,Benetton Renault,2,1:46.982,186.524
15,19,Enrique Bernoldi,Arrows Asiatech,2,1:47.294,185.982
18,20,Eddie Irvine,Jaguar Cosworth,2,1:51.532,178.915
9,21,Olivier Panis,BAR Honda,0,,
