,Position,Driver,Car,Time / Gap
2,1,Alain Prost,McLaren Honda,1:10.214
27,2,Nigel Mansell,Ferrari,+0.130s
6,3,Riccardo Patrese,Williams Renault,+0.960s
28,4,Gerhard Berger,Ferrari,+1.140s
5,5,Thierry Boutsen,Williams Renault,+1.277s
8,6,Stefano Modena,Brabham Judd,+1.501s
23,7,Pierluigi Martini,Minardi Ford,+1.652s
24,8,Luis Perez-Sala,Minardi Ford,+1.761s
7,9,Martin Brundle,Brabham Judd,+1.823s
26,10,Olivier Grouillard,Ligier Ford,+1.842s
17,11,Nicola Larini,Osella Ford,+2.115s
9,12,Derek Warwick,Arrows Ford,+2.298s
15,13,Mauricio Gugelmin,March Judd,+2.315s
12,14,Satoru Nakajima,Lotus Judd,+2.481s
37,15,Bertrand Gachot,Onyx Ford,+2.495s
11,16,Nelson Piquet,Lotus Judd,+2.501s
30,17,Philippe Alliot,Lola Lamborghini,+2.651s
1,18,Ayrton Senna,McLaren Honda,+2.715s
29,19,Eric Bernard,Lola Lamborghini,+2.816s
3,20,Jonathan  Palmer,Tyrrell Ford,+3.061s
16,21,Ivan Capelli,March Judd,+3.236s
31,22,Roberto Moreno,Coloni Ford,+3.268s
4,23,Jean Alesi,Tyrrell Ford,+3.291s
25,24,Rene Arnoux,Ligier Ford,+3.302s
20,25,Emanuele Pirro,Benetton Ford,+3.608s
10,26,Eddie  Cheever,Arrows Ford,+3.662s
22,27,Andrea de Cesaris,Dallara Ford,+3.949s
19,28,Alessandro Nannini,Benetton Ford,+4.127s
40,29,Gabriele Tarquini,AGS Ford,+4.191s
38,30,Christian Danner,Rial Ford,+4.768s
