,Position,Driver,Car,Time / Gap,Laps
16,1,Charles Leclerc,Ferrari,1:20.978,37
44,2,Lewis Hamilton,Mercedes,+0.068s,32
5,3,Sebastian Vettel,Ferrari,+0.201s,39
77,4,Valtteri Bottas,Mercedes,+0.369s,34
33,5,Max Verstappen,Red Bull Racing Honda,+0.372s,29
23,6,Alexander Albon,Red Bull Racing Honda,+0.611s,30
10,7,Pierre Gasly,Scuderia Toro Rosso Honda,+1.146s,42
8,8,Romain Grosjean,Haas Ferrari,+1.175s,44
3,9,Daniel Ricciardo,Renault,+1.271s,36
26,10,Daniil Kvyat,Scuderia Toro Rosso Honda,+1.282s,37
27,11,Nico Hulkenberg,Renault,+1.360s,37
55,12,Carlos Sainz,McLaren Renault,+1.504s,32
20,13,Kevin Magnussen,Haas Ferrari,+1.533s,42
7,14,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+1.545s,35
18,15,Lance Stroll,Racing Point BWT Mercedes,+1.728s,32
11,16,Sergio Perez,Racing Point BWT Mercedes,+1.904s,33
99,17,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+2.087s,35
4,18,Lando Norris,McLaren Renault,+2.583s,16
88,19,Robert Kubica,Williams Mercedes,+2.759s,29
63,20,George Russell,Williams Mercedes,+3.335s,23
