,Position,Driver,Car,Time / Gap,Laps
6,1,Kimi Räikkönen,Ferrari,1:15.382,22
5,2,Felipe Massa,Ferrari,+0.065s,22
1,3,Fernando Alonso,McLaren Mercedes,+0.772s,19
16,4,Nico Rosberg,Williams Toyota,+0.832s,24
14,5,David Coulthard,Red Bull Renault,+0.886s,24
2,6,Lewis Hamilton,McLaren Mercedes,+0.895s,20
9,7,Nick Heidfeld,Sauber BMW,+0.956s,25
17,8,Alexander Wurz,Williams Toyota,+1.025s,23
10,9,Robert Kubica,Sauber BMW,+1.059s,19
12,10,Jarno Trulli,Toyota,+1.221s,26
18,11,Vitantonio Liuzzi,STR Ferrari,+1.513s,32
22,12,Takuma Sato,Super Aguri Honda,+1.585s,22
8,13,Rubens Barrichello,Honda,+1.608s,25
7,14,Jenson Button,Honda,+1.665s,24
19,15,Scott Speed,STR Ferrari,+1.721s,33
23,16,Anthony Davidson,Super Aguri Honda,+1.784s,26
11,17,Ralf Schumacher,Toyota,+1.786s,26
3,18,Giancarlo Fisichella,Renault,+1.844s,20
4,19,Heikki Kovalainen,Renault,+1.966s,21
15,20,Mark Webber,Red Bull Renault,+2.053s,26
21,21,Christijan Albers,Spyker Ferrari,+2.796s,28
20,22,Adrian Sutil,Spyker Ferrari,+3.037s,15
