,Position,Driver,Car,Lap,Time,Avg Speed
5,1,Felipe Massa,Ferrari,42,1:16.099,208.670
6,2,Kimi Räikkönen,Ferrari,20,1:16.207,208.374
1,3,Fernando Alonso,McLaren Mercedes,36,1:16.495,207.590
2,4,Lewis Hamilton,McLaren Mercedes,39,1:16.587,207.340
3,5,Giancarlo Fisichella,Renault,70,1:16.703,207.027
7,6,Jenson Button,Honda,70,1:16.770,206.846
9,7,Nick Heidfeld,Sauber BMW,70,1:16.875,206.563
11,8,Ralf Schumacher,Toyota,68,1:16.966,206.319
16,9,Nico Rosberg,Williams Toyota,69,1:17.011,206.199
10,10,Robert Kubica,Sauber BMW,44,1:17.153,205.819
4,11,Heikki Kovalainen,Renault,69,1:17.206,205.678
8,12,Rubens Barrichello,Honda,68,1:17.220,205.641
17,13,Alexander Wurz,Williams Toyota,69,1:17.240,205.587
15,14,Mark Webber,Red Bull Renault,69,1:17.249,205.563
14,15,David Coulthard,Red Bull Renault,68,1:17.447,205.038
22,16,Takuma Sato,Super Aguri Honda,39,1:17.796,204.118
19,17,Scott Speed,STR Ferrari,51,1:17.934,203.757
20,18,Adrian Sutil,Spyker Ferrari,27,1:18.091,203.347
21,19,Christijan Albers,Spyker Ferrari,27,1:18.955,201.122
