,Position,Driver,Car,Time
5,1,Thierry Boutsen,Williams Renault,1:17.919
6,2,Riccardo Patrese,Williams Renault,1:17.955
28,3,Gerhard Berger,McLaren Honda,1:18.127
27,4,Ayrton Senna,McLaren Honda,1:18.162
2,5,Nigel Mansell,Ferrari,1:18.719
4,6,Jean Alesi,Tyrrell Ford,1:18.726
19,7,Alessandro Nannini,Benetton Ford,1:18.901
1,8,Alain Prost,Ferrari,1:19.029
20,9,Nelson Piquet,Benetton Ford,1:19.453
22,10,Andrea de Cesaris,Dallara Ford,1:19.675
11,11,Derek Warwick,Lotus Lamborghini,1:19.839
29,12,Eric Bernard,Lola Lamborghini,1:19.963
21,13,Emanuele Pirro,Dallara Ford,1:19.970
23,14,Pierluigi Martini,Minardi Ford,1:20.197
3,15,Satoru Nakajima,Tyrrell Ford,1:20.202
16,16,Ivan Capelli,Leyton House Judd,1:20.385
15,17,Mauricio Gugelmin,Leyton House Judd,1:20.397
12,18,Martin Donnelly,Lotus Lamborghini,1:20.602
30,19,Aguri Suzuki,Lola Lamborghini,1:20.619
8,20,Stefano Modena,Brabham Judd,1:20.715
26,21,Philippe Alliot,Ligier Ford,1:21.003
9,22,Michele Alboreto,Arrows Ford,1:21.758
24,23,Paolo Barilla,Minardi Ford,1:21.849
17,24,Gabriele Tarquini,AGS Ford,1:21.964
25,25,Nicola Larini,Ligier Ford,1:22.078
10,26,Alex Caffi,Arrows Ford,1:22.126
