,Position,Driver,Car,Lap,Time,Avg Speed
2,1,David Coulthard,McLaren Mercedes,69,1:20.699,177.236
1,2,Mika Hakkinen,McLaren Mercedes,44,1:20.710,177.212
11,3,Jean Alesi,Sauber Petronas,45,1:20.830,176.949
8,4,Heinz-Harald Frentzen,Jordan Mugen Honda,71,1:20.991,176.597
4,5,Eddie Irvine,Ferrari,62,1:21.010,176.555
7,6,Damon Hill,Jordan Mugen Honda,31,1:21.180,176.186
23,7,Ricardo Zonta,BAR Supertec,32,1:21.343,175.833
9,8,Giancarlo Fisichella,Benetton Playlife,51,1:21.469,175.561
10,9,Alexander Wurz,Benetton Playlife,71,1:21.539,175.410
16,10,Rubens Barrichello,Stewart Ford,38,1:21.707,175.049
6,11,Ralf Schumacher,Williams Supertec,48,1:21.745,174.968
19,12,Jarno Trulli,Prost Peugeot,45,1:21.936,174.560
22,13,Jacques Villeneuve,BAR Supertec,49,1:21.975,174.477
12,14,Pedro Diniz,Sauber Petronas,19,1:22.452,173.468
17,15,Johnny Herbert,Stewart Ford,70,1:22.455,173.461
18,16,Olivier Panis,Prost Peugeot,59,1:22.587,173.184
3,17,Mika Salo,Ferrari,49,1:22.681,172.987
20,18,Luca Badoer,Minardi Ford,45,1:23.456,171.381
14,19,Pedro de la Rosa,Arrows,47,1:23.520,171.250
5,20,Alessandro Zanardi,Williams Supertec,7,1:24.297,169.671
21,21,Marc Gene,Minardi Ford,28,1:24.807,168.651
15,22,Toranosuke Takagi,Arrows,11,1:25.483,167.317
