,Position,Driver,Car,Time / Gap,Laps
4,1,Eddie Irvine,Ferrari,1:19.476,25
1,2,Mika Hakkinen,McLaren Mercedes,+0.246s,19
2,3,David Coulthard,McLaren Mercedes,+0.641s,28
16,4,Rubens Barrichello,Stewart Ford,+1.071s,32
3,5,Mika Salo,Ferrari,+1.513s,31
8,6,Heinz-Harald Frentzen,Jordan Mugen Honda,+1.709s,30
5,7,Alessandro Zanardi,Williams Supertec,+1.775s,33
10,8,Alexander Wurz,Benetton Playlife,+1.980s,34
6,9,Ralf Schumacher,Williams Supertec,+2.005s,29
17,10,Johnny Herbert,Stewart Ford,+2.010s,21
22,11,Jacques Villeneuve,BAR Supertec,+2.028s,29
18,12,Olivier Panis,Prost Peugeot,+2.049s,34
20,13,Luca Badoer,Minardi Ford,+2.159s,39
9,14,Giancarlo Fisichella,Benetton Playlife,+2.197s,30
11,15,Jean Alesi,Sauber Petronas,+2.533s,40
7,16,Damon Hill,Jordan Mugen Honda,+2.706s,21
23,17,Ricardo Zonta,BAR Supertec,+2.814s,39
19,18,Jarno Trulli,Prost Peugeot,+2.884s,25
21,19,Marc Gene,Minardi Ford,+2.904s,33
12,20,Pedro Diniz,Sauber Petronas,+3.620s,17
15,21,Toranosuke Takagi,Arrows,+3.740s,25
14,22,Pedro de la Rosa,Arrows,+4.588s,37
