,Position,Driver,Car,Time
5,1,Nigel Mansell,Williams Honda,1:02.366
7,2,Nelson Piquet,Brabham BMW,1:02.490
6,3,Keke Rosberg,Williams Honda,1:02.504
12,4,Ayrton Senna,Lotus Renault,1:02.825
8,5,Marc Surer,Brabham BMW,1:04.088
11,6,Elio de Angelis,Lotus Renault,1:04.129
19,7,Teo Fabi,Toleman Hart,1:04.215
1,8,Niki Lauda,McLaren TAG,1:04.283
2,9,Alain Prost,McLaren TAG,1:04.376
18,10,Thierry Boutsen,Arrows BMW,1:04.518
17,11,Gerhard Berger,Arrows BMW,1:04.780
22,12,Riccardo Patrese,Alfa Romeo,1:04.948
20,13,Piercarlo Ghinzani,Toleman Hart,1:05.114
23,14,Eddie  Cheever,Alfa Romeo,1:05.260
27,15,Michele Alboreto,Ferrari,1:05.268
28,16,Stefan Johansson,Ferrari,1:05.388
3,17,Martin Brundle,Tyrrell Renault,1:05.649
33,18,Alan  Jones,Lola Hart,1:05.731
4,19,Philippe Streiff,Tyrrell Renault,1:06.205
29,20,Pierluigi Martini,Minardi Motori Moderni,1:08.658
24,21,Huub Rothengatter,Osella Alfa Romeo,1:09.873
