,Position,Driver,Car,Lap,Time,Avg Speed
5,1,Felipe Massa,Ferrari,34,1:48.036,233.388
6,2,Kimi Räikkönen,Ferrari,12,1:48.095,233.261
1,3,Fernando Alonso,McLaren Mercedes,44,1:48.182,233.073
2,4,Lewis Hamilton,McLaren Mercedes,41,1:48.215,233.002
9,5,Nick Heidfeld,Sauber BMW,33,1:48.663,232.042
10,6,Robert Kubica,Sauber BMW,32,1:48.894,231.549
12,7,Jarno Trulli,Toyota,43,1:48.990,231.345
4,8,Heikki Kovalainen,Renault,21,1:49.600,230.058
16,9,Nico Rosberg,Williams Toyota,29,1:49.769,229.704
11,10,Ralf Schumacher,Toyota,43,1:50.022,229.175
15,11,Mark Webber,Red Bull Renault,12,1:50.049,229.119
8,12,Rubens Barrichello,Honda,43,1:50.678,227.817
18,13,Vitantonio Liuzzi,STR Ferrari,40,1:50.730,227.710
22,14,Takuma Sato,Super Aguri Honda,32,1:50.886,227.390
20,15,Adrian Sutil,Spyker Ferrari,29,1:50.902,227.357
7,16,Jenson Button,Honda,22,1:51.141,226.868
14,17,David Coulthard,Red Bull Renault,24,1:51.156,226.837
17,18,Alexander Wurz,Williams Toyota,18,1:51.270,226.605
23,19,Anthony Davidson,Super Aguri Honda,43,1:51.391,226.359
21,20,Sakon Yamamoto,Spyker Ferrari,30,1:51.648,225.838
19,21,Sebastian Vettel,STR Ferrari,4,1:52.724,223.682
