,Position,Driver,Car,Lap,Time
27,1,Jean Alesi,Ferrari,36,1:24.621
1,2,Michael Schumacher,Benetton Renault,33,1:24.773
5,3,Damon Hill,Williams Renault,54,1:24.790
28,4,Gerhard Berger,Ferrari,49,1:25.379
6,5,David Coulthard,Williams Renault,15,1:25.884
25,6,Martin Brundle,Ligier Mugen Honda,39,1:25.985
14,7,Rubens Barrichello,Jordan Peugeot,51,1:26.279
7,8,Mark Blundell,McLaren Mercedes,33,1:26.717
30,9,Heinz-Harald Frentzen,Sauber Ford,49,1:26.741
26,10,Olivier Panis,Ligier Mugen Honda,62,1:26.819
2,11,Johnny Herbert,Benetton Renault,8,1:26.923
15,12,Eddie Irvine,Jordan Peugeot,19,1:26.933
8,13,Mika Hakkinen,McLaren Mercedes,5,1:27.091
24,14,Luca Badoer,Minardi Ford,60,1:27.359
9,15,Gianni Morbidelli,Footwork Hart,45,1:27.532
3,16,Ukyo Katayama,Tyrrell Yamaha,10,1:27.568
23,17,Pierluigi Martini,Minardi Ford,60,1:27.761
4,18,Mika Salo,Tyrrell Yamaha,45,1:27.914
29,19,Jean-Christophe Boullion,Sauber Ford,57,1:28.417
17,20,Andrea Montermini,Pacific Ilmor,20,1:29.548
10,21,Taki Inoue,Footwork Hart,21,1:30.174
21,22,Pedro Diniz,Forti Ford,55,1:30.193
16,23,Bertrand Gachot,Pacific Ilmor,7,1:30.394
22,24,Roberto Moreno,Forti Ford,6,1:30.532
