,Position,Driver,Car,Time,Laps
5,1,Damon Hill,Williams Renault,1:21.952,23
1,2,Michael Schumacher,Benetton Renault,1:22.742,21
6,3,David Coulthard,Williams Renault,1:23.109,23
28,4,Gerhard Berger,Ferrari,1:23.220,17
27,5,Jean Alesi,Ferrari,1:23.754,12
8,6,Mika Hakkinen,McLaren Mercedes,1:23.857,22
2,7,Johnny Herbert,Benetton Renault,1:23.885,22
25,8,Martin Brundle,Ligier Mugen Honda,1:24.447,18
15,9,Eddie Irvine,Jordan Peugeot,1:24.857,22
7,10,Mark Blundell,McLaren Mercedes,1:24.933,19
14,11,Rubens Barrichello,Jordan Peugeot,1:25.081,24
26,12,Olivier Panis,Ligier Mugen Honda,1:25.125,24
9,13,Gianni Morbidelli,Footwork Hart,1:25.447,22
30,14,Heinz-Harald Frentzen,Sauber Ford,1:25.661,11
3,15,Ukyo Katayama,Tyrrell Yamaha,1:25.808,23
24,16,Luca Badoer,Minardi Ford,1:25.969,24
4,17,Mika Salo,Tyrrell Yamaha,1:26.473,24
23,18,Pierluigi Martini,Minardi Ford,1:26.913,22
29,19,Jean-Christophe Boullion,Sauber Ford,1:27.145,21
11,20,Domenico Schiattarella,Simtek Ford,1:28.337,17
16,21,Bertrand Gachot,Pacific Ilmor,1:29.039,17
21,22,Pedro Diniz,Forti Ford,1:29.244,16
12,23,Jos Verstappen,Simtek Ford,1:29.391,8
22,24,Roberto Moreno,Forti Ford,1:29.608,13
17,25,Andrea Montermini,Pacific Ilmor,1:30.149,12
10,26,Taki Inoue,Footwork Hart,1:31.542,8
